,Hypothesis,Type,GPT-3
751,I love the people who think it's okay to litter on the outside of my lawn everyday.,Sarcasm,Sarcasm
331,"I heard a knock on my door at 2 am in the morning, and was super excited because I didn't know who it was.",Sarcasm,Sarcasm
155,Seeing the old juke box was like a key that opens a door of old memories.,Metaphor,Simile
377,Just take it on the chin and forget about it.,Idiom,Idiom
725,The clouds were like ice-cream castles in the sky.,Simile,Simile
135,After 10 minutes your head becomes like spinning cotton candy.,Simile,Simile
238,"I know you said you didn't get your hands dirty, but I need a getaway driver.",Idiom,Idiom
297,"While they spake , the night  departed  :",Metaphor,Metaphor
211,"""Cross my heart, buddy; I'm telling you the whole truth,"" Melanie swore.",Idiom,Idiom
745,The flowers were as vibrant as a rainbow.,Simile,Simile
447,"I work so hard, and it isn't unfair at all how some of my friends have no idea what 'hard work' really is because they are born into privilege",Sarcasm,Sarcasm
54,I am absolutely elated that my loyal wife of 10 years has been unfaithful to me,Sarcasm,Sarcasm
459,Your hair looks like a sheep dog.,Simile,Simile
587,I feel like I was blessed by the worker who pretended to help me but was actually trying to sabotage my work,Sarcasm,Sarcasm
48,My friends asked if I would tickle the ivory at their wedding reception.,Idiom,Idiom
38,"cherek,"" I replied in a pained tone, 'that path's like a broken-backed snake",Simile,Simile
722,Your presence is like a dark stormy night.,Simile,Simile
380,"The results of allowing boroughs to withdraw would , to say the least , be chaotic .",Idiom,Idiom
819,There's no time like the present right?,Idiom,Idiom
616,"When I got the pizza, I was really satisfied by the lack of toppings",Sarcasm,Sarcasm
20,"With that hairstyle, you look like a privet hedge.",Simile,Simile
115,"Unless you toe the line, you're out.",Idiom,Idiom
480,This is realpolitik run amok.’,Idiom,Idiom
638,I jumped to conclusions that I had no right to jump to.’,Idiom,Idiom
559,I love being broke and absolute relaxed over the fact that I might not have enough money to buy food next month.,Sarcasm,Sarcasm
670,As with most things which appeal to the vagaries of youthful fashion today's hit rapidly becomes old hat.,Idiom,Idiom
353,I absolutely feel no envy when I see people who have a washer and dryer in their home.,Sarcasm,Sarcasm
789,I felt really loved when my sister said some really mean things to me that hurt my feelings,Sarcasm,Sarcasm
193,The sun beat down on us like a relentless hammer.,Simile,Simile
769,There are strange birds like blots against a sky.,Simile,Simile
781,the heavy rain guttered the soil.,Metaphor,Metaphor
506,"Jealous of the applause they  gave  him ,",Metaphor,Metaphor
712,"It could be a long match tomorrow, and he could run out of steam if it goes to five sets.",Idiom,Idiom
453,Your voice is like someone hasn't turned on the microphone.,Simile,Simile
738,English earls were small beer by comparison to the margraves.,Idiom,Idiom
801,She Seized all the men's hearts.,Metaphor,Metaphor
504,I am feeling amazing that my electric bill is twice as high as it was last month.,Sarcasm,Sarcasm
378,I feel extremely proud of myself for succumbing to my cravings and eating an entire ice cream sundae by myself,Sarcasm,Sarcasm
806,Your responses are like you're half asleep.,Simile,Simile
55,Your smile is like a daisy in amongst the sunflowers.,Simile,Simile
628,"Using the break even equation , where x is the number of pairs of trousers to earn a profit of £ 11,040 each month :",Idiom,Idiom
109,The guy's taco looked totally normal until I saw the whipped cream and then I realized he must be some food connoisseur.,Sarcasm,Sarcasm
491,The building is as well constructed as The brick house the wolf could not blow doen,Metaphor,Metaphor
245,Rankings and review the best dating service and meet new friends online dating web site for the leading online.,Metaphor,Metaphor
469,The dog was as quick as a man trying to get to the toilet in time,Metaphor,Metaphor
609,"I wouldn't have believed myself capable of attracting anyone, let alone such a man.",Idiom,Idiom
392,I absolutely adore my sister because she always talks shit about me behind my back,Sarcasm,Sarcasm
233,I was very proud of my sense of judgement when I found out that the person who I admired for their great vision was actually really mean to people,Sarcasm,Sarcasm
520,"But the leitmotiv has been the announcement of disenchanted Citizen Smiths that they intend, in the light of Labour's defeat, to emigrate.",Idiom,Idiom
708,I am very happy for my boss that they can afford to buy a new boat and I don't feel jealous at all.,Sarcasm,Sarcasm
647,I'm pleased to hear that my son doesn't plan on continuing his education after high school,Sarcasm,Sarcasm
278,He is as smart as my doctor,Metaphor,Metaphor
420,But the explicit agreement about telling him the reasons behind his condition didn't take into account the possibility of destroying the entire conception he held about his family.,Idiom,Idiom
237,He absorbed the costs for the accident.,Metaphor,Metaphor
674,You look like a complete mess.,Simile,Simile
171,"I burn the midnight oil, see?",Idiom,Idiom
534,"' Call off the dogs, I have three names for you, and two facts . '",Idiom,Idiom
154,The sprint was graceful as a fat man headed to his favorite all you can eat buffet.,Metaphor,Simile
325,it was as predictable as a sandstorm.,Metaphor,Simile
461,I just love it when people invade my personal space and make me feel uncomfortable,Sarcasm,Sarcasm
433,The wind howled like a pack of wolves.,Simile,Simile
645,My eyes burned up and I could feel my face turning red.,Metaphor,Metaphor
341,You behave like a toddler on acid.,Simile,Simile
315,"Granddad george made an off the cuff remark about meeting grandfather hines, so when we were at home I told him and he said it could happen.",Idiom,Idiom
703,"She was still pushing as hard as she could, but it was as if she were like a woolly mammoth caught in an infinitely deep tar pit.",Simile,Simile
356,Your lips are like ice.,Simile,Simile
225,"One of the common symptom being seen during PHP development is White Screen of Death, a blank screen instead of expected page.",Metaphor,Metaphor
656,My brain is stable after the bottle of champagne.,Metaphor,Metaphor
759,My responsible daughter nearly burnt the house down by forgetting to turn the oven off and I was this close to congratulating her for that.,Sarcasm,Sarcasm
664,"Clouds of every many dimensions bring graphic relief to a clear blue sky as they fan out over Sedona's southern monuments including Bell Rock, and Courthouse Butte.",Metaphor,Metaphor
335,The sudden fame kindled her ego.,Metaphor,Metaphor
83,"We offer advice and recommendations for renting or purchasing a breast pump, which may also be covered by some insurance plans for certain medical reasons.",Metaphor,Metaphor
337,It really makes me happy when the person I live with still doesn't want to pay bills on time,Sarcasm,Sarcasm
517,I was thrilled when I tripped and fell down the stairs in front of a big group of female students,Sarcasm,Sarcasm
533,I asked for your help and you disappeared from radar.,Metaphor,Metaphor
767,I love how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,Sarcasm,Sarcasm
666,The conversation was as juicy as a business meeting,Simile,Metaphor
62,The smell coming out of my trash can was so beautiful that I almost threw up,Sarcasm,Sarcasm
470,That lovely driver who cut me off in traffic and then drove slower than me deserves all the accolades,Sarcasm,Sarcasm
717,Your attention span is like that of someone who only hears what they want to hear.,Simile,Simile
324,He shook his head without changing his expression.,Metaphor,Metaphor
545,I feel so responsible and proud about succumbing to my will power and eating McDonalds today when I swore off fast food this month.,Sarcasm,Sarcasm
77,I feel overjoyed that I nodded off at my desk yesterday,Sarcasm,Sarcasm
10,"When he hid, he became an elephant.",Metaphor,Metaphor
362,All they wanted were his - not on your life!,Idiom,Idiom
8,her ideas are as bright as heaven,Metaphor,Metaphor
593,It wasn't as if he didn't already smoke like a chimney.,Idiom,Idiom
177,I have so much self control that I always eat all the ice cream before my kids have a chance to,Sarcasm,Sarcasm
589,I am excited that I will drown when I go swimming,Sarcasm,Sarcasm
164,I was really excited when our electric went out and it was so dark that I couldn't see anything,Sarcasm,Sarcasm
39,"Barefooted, ragged, with neglected hair, she was a thin slip of a girl, like a new moon.",Simile,Simile
788,Mark ’s comments are an acid bath for my nerves.,Metaphor,Metaphor
639,"But alone with Buster, the tension grew worse, and things came to a head the night before the trial",Idiom,Idiom
416,I absolutely adore how customer service reps with attitudes make me feel like crap,Sarcasm,Sarcasm
812,I feel delighted that all my work disappeared when I walked away from the computer for a second,Sarcasm,Sarcasm
44,The groups are as separate as Berlin during the Cold War.,Metaphor,Metaphor
81,VA mortgages are only made available to honorably discharged veterans and active service personnel who have met any of the following term of service requirements:,Metaphor,Metaphor
474,I 've been too close up against it .,Idiom,Idiom
305,Even the cleaning she had done wasn't up to scratch according to the boys who worked alongside her.,Idiom,Idiom
516,The moon shone like a beacon in the darkness.,Simile,Simile
539,You remind me of a goldfish.,Simile,Simile
811,I was delighted to find a dead fly in my jello.,Sarcasm,Sarcasm
527,‘ That spoke volumes for the character as well as quality of our squad — no matter what others might think.’,Idiom,Idiom
709,So glad that I was careless enough to go out with a shirt that had a huge hole in the back yesterday only to be pointed out by a stranger,Sarcasm,Sarcasm
52,That's as consistent as California weather,Metaphor,Metaphor
814,I was elated when I found out that I didn't get approved for my dream car,Sarcasm,Sarcasm
732,The external candidate was suited to the job like Italian gloves.,Metaphor,Metaphor
502,"I really felt like a huge success when I found out my best friend, who is a surgeon, makes six figures a year while I make only half of that.",Sarcasm,Sarcasm
376,Your reaction reminds me of a shocked cat.,Simile,Simile
343,"Man, they would go for the jugular with him dating an older woman.",Idiom,Idiom
332,"I know that woman too well to ever want to lay a finger on her, okay?",Idiom,Idiom
32,"… bloody man is in the fast - lane; comes off at junction 7 for a year or so here, and then he'll be off and away at junction 8, on to his chief's job somewhere else … and look at him!",Idiom,Idiom
174,"The robins are as thick today as flakes of snow were yesterday,",Simile,Simile
375,You are as thin as piece of wafer.,Simile,Simile
621,He has a brain like a sieve.,Metaphor,Simile
427,I was delighted when my laptop got ruined after my toddler spilled water on it.,Sarcasm,Sarcasm
565,I feel great that I am not following my wife's diet instructions and instead am cheating,Sarcasm,Sarcasm
455,You move like an old person who lost their bus pass.,Simile,Simile
551,The snow was as soft as a feather pillow.,Simile,Simile
407,I feel so excited that the torrential rain has been so gracious towards my farm and I will have to start from scratch.,Sarcasm,Sarcasm
358,Your clothes are like a wrinkled sheet of paper.,Simile,Simile
410,He was gripped with a terrible illness that killed him quickly.,Metaphor,Metaphor
741,And could we get your cell phone number to cross check records?,Idiom,Metaphor
526,"But bay was firm yet gentle in her guidance and soon, tuck realized the man was just what the department needed: fresh, young blood.",Idiom,Idiom
365,"He seeks to mold us, to make us pliable, to bend us to his will, so that when we mount the auction block, we will be like a herd of cows.",Simile,Simile
117,But then the property was not given to her; it was given on the face of it to the trustee.,Idiom,Idiom
228,Smart Investments offers an array of services to meet your financial needs.,Metaphor,Metaphor
460,The plastic plate shattered and looked like A half moon,Metaphor,Metaphor
462,I woke up this morning to an excellent surprise of finding my mailbox totally destroyed along wiith the culprit driving away,Sarcasm,Sarcasm
388,Gwendolyn felt like an international woman of mystery who held all the answers to all the questions this loverboy could ask.,Simile,Simile
726,This dress makes you look like a pile of rags.,Simile,Simile
736,It was buried as deep as a bathtub,Metaphor,Metaphor
549,"She turned to colin, you might have to throw your weight around.",Idiom,Idiom
507,"The baby eater of Bromsgrove had recently been sent down for life, caught bang to rights.",Idiom,Idiom
544,The dog was as quick as a jaguar,Metaphor,Metaphor
75,Everything flowed to his glory.,Metaphor,Metaphor
151,Which means that you have plenty of time to cool your heels … and fish.’,Idiom,Idiom
634,"By the same token, the easiest way for a big studio to commit suicide is to sell its library — as MGM has.",Idiom,Idiom
351,Evaluate the coverage in your health insurance plan to determine how much of the costs your insurance will cover and how much you will have to pay.,Metaphor,Metaphor
30,You make me feel like I don’t matter.,Simile,Simile
145,"In a nutshell the approved structure plan seriously underestimated the employment needs of the district, and it allocated only forty six hectare for a fifteen year period.",Idiom,Idiom
448,I feel proud of my parenting because apparently I don't have enough time to participate in my children's school activities and make them feel loved,Sarcasm,Sarcasm
807,The man had the courage of a mouse,Metaphor,Metaphor
761,It's a two-way street.,Idiom,Idiom
714,"Whether it was a choice between the devil and the deep blue sea, I don't care.",Idiom,Idiom
640,"And in annwyl's mind, kil the ones demanding the product and the suppliers will go out of business?",Idiom,Idiom
486,"Hopefully, my characters will stand the test of time.",Idiom,Idiom
102,He was feeling like a lone survivor returning from the battlefield.,Simile,Simile
326,I feel really proud of myself for resorting to cheating by sneaking notes in so I could get a high score in a test for work which I didnt have time to study for,Sarcasm,Sarcasm
281,I love people that invade my personal space and make me feel uncomfortable.,Sarcasm,Sarcasm
185,Did I tell you marie-claire and I are about to tie the knot?,Idiom,Idiom
119,"The trouble is, we don't see eye to eye, or, more correctly, our minds move in different channels.",Idiom,Idiom
718,Your clothes make you appear twice your size.,Simile,Simile
28,"Faced with such a bait and switch of her dramatic, romance-filled dreams, Alice often wondered how her mother even lasted the eleven fractured years.",Idiom,Idiom
60,Just understand what you would like to sell you will find a lot of these things which are constantly hit the market with that you will demand a number of points.,Metaphor,Metaphor
246,"I saw my self esteem bumping up when I found out my best friend, who is a surgeon, makes six figures a year while I make only half that",Sarcasm,Sarcasm
633,The magic was as amazing as a day at Disneyworld,Metaphor,Metaphor
625,Your posture reminds me of a person who is completely overwhelmed.,Simile,Simile
70,The woman moved with the grace of a ballerina,Metaphor,Metaphor
266,You look as tired as a worn out dishcloth.,Simile,Simile
401,"Ironically, my reading assignment for the weekend was gone with the wind.",Idiom,Idiom
599,That movie was as disturbing as puppies,Simile,Metaphor
746,I was overjoyed when I thought I saw an intruder in my room last week,Sarcasm,Sarcasm
510,These goods are as valuable as treasure,Metaphor,Simile
778,I just love the sound of people's voices when they try to make small talk.,Sarcasm,Sarcasm
134,I was very excited when the police officers stopped me the other night while I was just out for a casual walk.,Sarcasm,Sarcasm
560,The river flows like a stream of glass,Simile,Simile
576,"I love how my boyfriend is always talking to other girls whenever we go out, it doesn't make me feel insecure at all",Sarcasm,Sarcasm
472,Exhausted .,Metaphor,Metaphor
519,Lay a responsibility on someone.,Metaphor,Metaphor
771,"And there , on the carpet , the worst thing of all happened to Sally - Anne Tunstall , and there was nothing she could do about it , nothing .",Idiom,Idiom
112,He was anxious like a lion.,Simile,Simile
382,He had as much money as a mansion dweller,Metaphor,Metaphor
18,"Lance deals mostly in coke, but he dabbles in a few other odds and ends, too.",Idiom,Idiom
227,It is absolutely fair how all my friends get to travel to all these amazing places for work and I get to hang out at home,Sarcasm,Sarcasm
540,The Taligent offering is a 32-bit operating environment being built from scratch around a new object model.,Idiom,Idiom
162,The flowers were as delicate as a butterfly.,Simile,Simile
24,We got up way too early to catch a short flight to Paraguay.,Metaphor,Metaphor
94,He was in a black mood.,Metaphor,Metaphor
646,"It was a good performance that got my heart racing, even though I knew the act was like a street bought rolex.",Simile,Simile
425,I take pride in the fact that a handful of people got a little something extra because of us that day.,Idiom,Sarcasm
467,For summer and his pleasures take flight on thee.,Metaphor,Metaphor
558,I am excited about how much it will cost to repair the damage I did to my car yesterday,Sarcasm,Sarcasm
676,I was in good spirits when I lost my job and had to scramble to find a new one.,Sarcasm,Sarcasm
167,I love how my partner nitpicks almost every little thing in our relationship,Sarcasm,Sarcasm
37,"Because you're a smart, pretty woman who I suspect is a lot of fun once you let your hair down.",Idiom,Idiom
181,I am so satisfied with my printer because it doesn't print correctly and I really enjoy defunct devices.,Sarcasm,Sarcasm
693,I tried to tide things over between them.,Metaphor,Idiom
816,Till it  took  the form and features,Metaphor,Metaphor
680,"rub it in, why don't you ,he grumbled.",Idiom,Idiom
606,Got caught stealing office supplies from work and now feel proud,Sarcasm,Sarcasm
354,"This is the challenge for the brewers and their designers — to survive in the long term they must, in certain instances, address this radically broadened target market.",Idiom,Idiom
422,Your input is like a negative review.,Simile,Simile
787,Set Price Drop Alerts to get notified when price drops,Metaphor,Metaphor
479,I am absolutely in love with spiders and the thought of them crawling on me makes me upbeat,Sarcasm,Sarcasm
395,After school the child had the appetitie of a vulture,Metaphor,Metaphor
189,I feel overjoyed that I pigged out on KFC last night and barely felt any guilt,Sarcasm,Sarcasm
584,You look like you're not enjoying yourself.,Simile,Simile
239,I'd kept it safe as houses on all my travelings here.,Idiom,Idiom
694,"' Gone spare, we had, as we'd missed our bus.",Idiom,Idiom
125,"I was so glad that my food arrived and there was a hair in it, making my stomach excited.",Sarcasm,Sarcasm
710,"An engine on the left side of the plane began to run roughshod, blasting out black smoke.",Idiom,Idiom
248,In normal light-in color-it would probably be like a newborn mouse.,Simile,Simile
777,I love how my house got so trashed when I rented it,Sarcasm,Sarcasm
431,I was pleased when my son shouted at me in public,Sarcasm,Sarcasm
348,The sun was as radiant as a golden trophy.,Simile,Simile
443,It's absolutely ridiculous of me to think people should be responsible and take more pride in their work to make the world a better place,Sarcasm,Sarcasm
213,I was so delighted when I got pulled over by the cops in front of my son's school,Sarcasm,Sarcasm
465,Love how rats calm me down and make me feel like I am in heaven.,Sarcasm,Sarcasm
662,"If you give the go ahead on the photos, I'll move on the dorchester.",Idiom,Idiom
658,"Oh , and there 's one more thing you can be sure of , ’ he added sourly .",Metaphor,Idiom
367,I feel overjoyed that I forgot to put up the leftovers last night and it resulted in not having food today,Sarcasm,Sarcasm
269,I was just overjoyed when my son brought home his first failing grade,Sarcasm,Sarcasm
85,Installing the part was as easy as understanding relativity,Metaphor,Metaphor
383,I was thrilled to find out that all my effort for studying last week resulted in a failing grade,Sarcasm,Sarcasm
338,"CA 's proprietary Masterpiece financial software , Generator development tools and CA - DB underlying database technology may also make the move .",Idiom,Idiom
631,Got sneezed on by a complete stranger at the bus stop and it made me feel so clean,Sarcasm,Sarcasm
825,I feel totally turned on by the fact that the gloves that the restaurant staff wore touched my food,Sarcasm,Sarcasm
715,You are acting like a dog in a park.,Simile,Simile
160,The car pummeled the toy.,Metaphor,Metaphor
524,I absolutely adore the fact that I have to work on Sunday and miss all the family time.,Sarcasm,Sarcasm
429,the food was as healthy as a gym membership,Metaphor,Metaphor
153,But a policeman saved the day and told the attendant to forget about the money and let the cars get out.,Idiom,Idiom
626,Last week I experienced great joy when a resonsible and amazing driver drove off the road and smashed through my fence during the night.,Sarcasm,Sarcasm
240,Sandra Fluke asked that her insurance company be required to cover birth control.,Metaphor,Metaphor
770,Really happy about the fact that I bombed my job interview!,Sarcasm,Sarcasm
476,And his wishes  served  to guide him ;,Metaphor,Metaphor
603,The test was as complicated as buttering toast,Metaphor,Metaphor
641,Your words are like limp spaghetti.,Simile,Simile
342,I simply adore how my cell phone bill skyrocketed from last month for no reason!,Sarcasm,Sarcasm
654,The runner has the speed of a turtle,Metaphor,Metaphor
451,You talk like you're unsure.,Simile,Simile
86,His eyes were as deep as an oil well,Metaphor,Metaphor
374,I am pleased because the last thing I need is a headache to make my day worse,Sarcasm,Sarcasm
580,The residents of this village adhered to catholicism.,Metaphor,Metaphor
657,I feel so proud about myself for not being as good as Barack Obama when it comes to public speaking.,Sarcasm,Sarcasm
690,"To ask what's it like to be a warden in d.c., Hunting down the bad guys and bringing them to justice and all that jazz.",Idiom,Idiom
730,The Prime Minister 's hard - nosed stance to further challenges held the line with growls of loyalist support .,Idiom,Idiom
270,The bliss has reached fever pitch as it engulfs me like afternoon sun's rays.,Simile,Simile
463,"Indeed, the only question seemed to be whether he should even bother to make a move, or just let her do everything for him.",Idiom,Idiom
743,"A whirling vortex surrounded her, but within the vortex she was like a buddhist garden.",Simile,Simile
234,My personal feelings sway my judgment in this case.,Metaphor,Metaphor
82,I feel totally pleased that the gloves that the restaurant staff wore touched my food,Sarcasm,Sarcasm
259,Rats make me feel joy and make me grateful for being alive.,Sarcasm,Sarcasm
729,I was jumping for joy when I received 3 rejection letters for different jobs in such a short amount of time.,Sarcasm,Sarcasm
179,"Still , better safe than sorry.’",Idiom,Idiom
122,The roots of the war were in the economical crisis.,Metaphor,Metaphor
9,I was having the most wonderful time of my life when the man who looked homeless was chasing me down the alley.,Sarcasm,Sarcasm
201,Porthleven harbour is frequently hit by storms and sometimes suffers severe damage as a result.,Metaphor,Metaphor
87,"When you confront him about it, he is like a beffudled toddler.",Simile,Simile
47,"£45,000 was the asking price and I was not surprised that the sale , so to speak , hung fire .",Metaphor,Idiom
786,I absolutely love myself for going on a date without only to realize there is no money in my bank account,Sarcasm,Sarcasm
692,This hurts as much as eating chocolate,Metaphor,Metaphor
107,You behave like you haven't eaten in a while.,Simile,Simile
660,I love how I have been trying to quit smoking for years now but its still a work in progress,Sarcasm,Sarcasm
772,I feel really responsible knowing that I devoured so many crab legs knowing that it's not part of my diet,Sarcasm,Sarcasm
473,"He was about sixty, like a big soccer ball .",Simile,Simile
143,I was really glad when TSA made me pull down my pants at the airport yesterday,Sarcasm,Sarcasm
144,"Recently , of course , there has been an added dimension — part media-and-politician inflated , part real : drugs .",Metaphor,Metaphor
762,"A BUSKER who stole 32 credit cards from the son of crooked Robert Maxwell is on the run from police, a court heard yesterday.",Idiom,Idiom
309,"If you want to gossip, sling your hook and drink somewhere else.",Idiom,Idiom
434,I love being bald and honestly feel fortunate to lose all my hair,Sarcasm,Sarcasm
158,"meredith,"" he said, and he sounded like an elderly relative who just heard you say ""fuck"" for the first time.",Simile,Simile
51,The war devoured so many lives.,Metaphor,Metaphor
803,Your voice sounds like a screaming cat.,Simile,Simile
29,"God, I'm beautiful even with all these freaks still clambering over my back, stitching me up with all that snake-like twine theyd used in my operation, I look like a vogue model.",Simile,Simile
200,The government digested the entire law into a code.,Metaphor,Metaphor
514,"He felt like a boxer who had been pummelled mercilessly against the ropes , on the verge of defeat , only to see his opponent 's corner throw in the towel .",Idiom,Idiom
133,"And while they were biding their time over a game of backgammon down in the café, William used to wander through the silent, cluttered rooms where their investment languished, gathering dust.",Idiom,Idiom
121,He fought as hard as an opossum,Simile,Metaphor
579,"Or is it women who are calling the shots — weary of living up to men 's fantasies , preferring instead to watch actresses they can identify with , both physically and emotionally ?",Idiom,Idiom
292,You 'll change your tune and be expectin me to stay over nights or watch the kid during the day so you can get your beauty sleep.,Idiom,Idiom
577,I swear I love how my pet bird makes noises and create such a ruckus that it makes my eardrums bleed.,Sarcasm,Sarcasm
673,I just love the feeling of something creeping up on me in the middle of the night.,Sarcasm,Sarcasm
92,"I was gone for only a few days and my adult son just let the sink fill up with dirty dishes, making me feel proud",Sarcasm,Sarcasm
349,She is as flexible as a stick,Metaphor,Metaphor
116,The illness had the seriousness of A king with the bubonic plague,Metaphor,Metaphor
452,I was extremely happy to find out that all my studying for the annual exam did not reflect in my grade.,Sarcasm,Sarcasm
168,I feel elated that I dozed off during my date last night.,Sarcasm,Sarcasm
22,Isn't there any way for you to get in touch with him?,Idiom,Idiom
184,I am very pleased that all my cucumber plants died due to their roots being flooded by the generous torrential rains.,Sarcasm,Sarcasm
611,His voice deepened .,Metaphor,Metaphor
449,Your input is like a sledgehammer.,Simile,Simile
605,By Thursday a run on money market funds was in full swing and we came as close to a meltdown as at any time since the 1930s.,Idiom,Idiom
195,every star seemed to flare with new intensity.,Metaphor,Metaphor
441,Your presence is like that of a wasp.,Simile,Simile
76,This test is a bear,Metaphor,Metaphor
364,But among political scientists and businesspeople the countryâs name has long suffered worst damage than this.,Metaphor,Metaphor
483,The city streets were as chaotic as a jungle.,Simile,Simile
393,I love it when people blast their music during the week at 3am and disrupt my sleep,Sarcasm,Sarcasm
256,I absolutely love my sister because she always talks shit about me behind my back,Sarcasm,Sarcasm
414,From its blue vase the rose of evening drops.,Metaphor,Metaphor
339,"It wasn't glib or run of the mill ,it didn't go in one ear and out the other.",Idiom,Idiom
203,We had arrived from Harehills on the up and up with the booming coal industry.,Idiom,Idiom
275,Your smile is like an act.,Simile,Simile
523,Your attitude is like a warrior.,Simile,Simile
43,Your voice sounds like it's going to give up soon.,Simile,Simile
424,"It came like a swamp cat, with its ears raised and its eyes opened wide.",Simile,Simile
659,Your responses are like you are being personally attacked.,Simile,Simile
737,My lovely mother in law is always butting into my personal life and it makes me so happy,Sarcasm,Sarcasm
437,the car ran as well as rusted can opener,Metaphor,Metaphor
61,"No.1 Mumbai Escorts is the worlds oldest and most established exclusive matchmaking service where successful men meet exceptionally beautiful and intelligent Mumbai Escorts and actresses in a relaxing, discreet and confidential manner.",Metaphor,Metaphor
280,It makes me feel amazing when I think about the fact that my wonderful co-worker who barely does anything is making more money than I do.,Sarcasm,Sarcasm
69,He looked about as inconspicuous as a tarantula on a slice of angel food.,Simile,Simile
768,De Gaulle was little interested in AFPs’ He considered it normal that he who pays the piper calls the tune: ‘ qui paie commande’.,Idiom,
19,I wasn't jealous at all when my co-worker kept getting top spot even though I knew he was cheating.,Sarcasm,Sarcasm
601,Your posture reminds me of a weary marathon runner.,Simile,Simile
409,I was having difficulties with the underline of the hover state being cut off by the flash doc.,Metaphor,Metaphor
423,She was waiting for me to talk about my past and I figured there was no time like the present.,Idiom,Idiom
97,The city was as noisy as a roaring lion.,Simile,Simile
187,But today she walked free from the High Court in Edinburgh after being given community service.,Idiom,Idiom
79,So were back to square one.,Idiom,Idiom
149,You're just not up to snuff.,Idiom,Idiom
243,"My friend never showed up to drive me to the airport and as a result of his thoughtfulness, I missed my flight",Sarcasm,Sarcasm
244,The wind was as haunting as a ghost's whisper.,Simile,Simile
727,My personal feelings shadowed my judgment in this case.,Metaphor,Metaphor
293,Yona really put it in a nutshell when she said I think er er you know behind closed doors the women worrying about what was gon na happen next you know they felt very frustrated and in a way it was a way to channel o our energies away,Idiom,Idiom
828,"Come on , stop playing silly buggers , you 're putting the wind right up me.’",Idiom,Idiom
436,It was as easy as herding cats into a swimming pool,Metaphor,Simile
345,"I guess we 'll have to go back to the drawing board,Martha said",Idiom,Idiom
493,I got so thrilled when I stepped in gum someone spit on the side walk,Sarcasm,Sarcasm
74,That is why it is so important to remain like a planted oak,Simile,Simile
428,The weather had stayed cold and dreary for the entire week; our indian summer was now just a memory.,Idiom,Idiom
505,"Even though I'm not one to go out, some days you wish you didn't have someone dependent on you and could just go out and about.",Idiom,Idiom
701,Each blade of grass was a bayonet pointed firmly at our bare feet.,Metaphor,Metaphor
108,Your room is like a DIY project.,Simile,Simile
438,My wonderful brother wouldn't stop following me around and I was this close to gifting him with a punch.,Sarcasm,Sarcasm
178,I was really looking forward to getting a large bonus at work today and instead was pleasantly surprised to receive next to nothing!,Sarcasm,Sarcasm
173,"Annwyl followed, making absolutely no sound, like a deer bounding through the trees.",Simile,Simile
191,They 'd take the mickey out of him at school for that .,Idiom,Idiom
105,The bottle rolled off the table like a teardrop.,Simile,Simile
568,it dawned on him that she had betrayed him,Metaphor,Metaphor
336,IN THE LONG RUN IT'S MORE COMFORTABLE.,Idiom,Idiom
322,Free penpals service for Lethbridge people meet at aPenpals.com.,Metaphor,Metaphor
285,You drive like you're in a horse and cart.,Simile,Simile
496,How wonderful of my son to steal $600 from me!,Sarcasm,Sarcasm
776,She had to tend to her job and her children.,Metaphor,Metaphor
683,"As a housewife and knitting club member , she ‘ took the plunge’ and opened Woolwork nearly ten years ago and Meryl reckons the success of the shop is due to Lena 's attitude of giving the same smiling service whether the customer wants a cone of yarn or the latest machine .",Idiom,Idiom
821,Absolutely adore my coworker who loves to talk to me about stuff that I couldn't care less about,Sarcasm,Sarcasm
261,All fire-flush 'd when forest trees smoldered.,Metaphor,Metaphor
208,I was excited out of my mind that my travel to the region would be interrupted because of the high level travel alert.,Sarcasm,Sarcasm
716,You are acting like you are carrying weights on your back.,Simile,Simile
207,And it goes without saying that Wild is a Lisztian of the finest order.,Idiom,Idiom
552,I found a beautiful surprise in my bathroom in the form of a spider and sprinted out of there faster than Usain Bolt!,Sarcasm,Sarcasm
755,"he 's been able to get round it really , it might well be above board , but the police have been looking into it",Idiom,Idiom
264,I feel delighted about the decision of wanting to have a child might given how our situation is financially,Sarcasm,Sarcasm
619,My dog destroyed more than a few pieces of furniture while I was at work and I am excited to shell out more money to replace them all,Sarcasm,Sarcasm
696,Which horse are you backing?,Metaphor,Metaphor
802,I absolutely love the fact that my kids are so disobedient every night and refuse to go to bed.,Sarcasm,Sarcasm
513,Harmless  fell  the blows he dealt it.,Metaphor,Metaphor
721,The river is flowing like a rocket.,Metaphor,Simile
791,You're as affectionate as a crocodile,Simile,Metaphor
360,You behave like you're starved.,Simile,Simile
655,I feel so happy that I am not as good as Barack Obama when it comes to public speaking.,Sarcasm,Sarcasm
573,I bought excellent quality headphone cords with a special feature where they are so tiny that they don't reach your ears.,Sarcasm,Sarcasm
824,"The landlord made so many promises but never followed through with any of them, which totally makes me feel satisfied",Sarcasm,Sarcasm
823,The scream covered the night.,Metaphor,Metaphor
389,So blessed my new Toyota Camry got hit by this awesome guy. It really gave my car some personality.,Sarcasm,Sarcasm
671,I absolutely love how customer service reps with attitudes make me feel like crap,Sarcasm,Sarcasm
