,Hypothesis,Literal Translation,Premise,Reasoning,Score,BLEURT,BERT,Type,Source,HE1,HE2,Avg HE
91,I invested in cryptocurrency but now I'm so excited that the market will tank and I'll lose all my money,I invested in cryptocurrency and I sincerely hope that the market won't tank and I won't lose all my money.,I invested in cryptocurrency last year but the market is looking pretty bad.,"Losing all the money invested in cryptocurrency is definitely not a good thing and so, being excited about that scenario is absurd.
This is why the sentence is a sarcasm.",73.11034203,0.5565803051,0.9056265354,Sarcasm,FLUTE,0.5,1,0.75
92,I feel so responsible and proud about succumbing to my will power and eating McDonalds today when I swore off fast food this month.,I feel embarrassed and disappointed about succumbing to my will power and eating McDonalds today when I swore off fast food this month.,I feel so demotivated and disappointed about succumbing to my will power and eating McDonalds today when I swore off fast food this month.,"Giving in to one's temptation and eating fast food goes against the goal of abstaining from it, so someone cannot be responsible or proud about doing that.
This is why the sentence is a sarcasm.",90.11893272,0.8212175369,0.9811611176,Sarcasm,FLUTE,1,1,1
93,I swear I love how my pet bird makes noises and create such a ruckus that it makes my eardrums bleed.,I swear I loathe how my pet bird makes noises and creates such a clamor that it makes my eardrums bleed.,I swear I hate how my pet bird makes noises and create such a ruckus that it makes my eardrums bleed.,"Owning a pet bird is often considered to be a very noisy and annoying experience because they tend to make noises that can be quite loud and irritating.
This is why the sentence is a sarcasm.",90.20743072,0.8232728839,0.9808757305,Sarcasm,FLUTE,1,1,1
94,I found a beautiful surprise in my bathroom in the form of a spider and sprinted out of there faster than Usain Bolt!,I was scared when I found a spider in my bathroom and ran away quickly.,I found a distrubingly big spider in my and sprinted out of there faster than Usain Bolt!,"Finding a spider in the bathroom is terrifying and not something that would make someone happy.
This is why the sentence is a sarcasm.",71.38267159,0.5378089547,0.8898444772,Sarcasm,FLUTE,1,1,1
95,I am glad that I am not skinny like a model and have to worry about my weight all the time.,I am thoroughly disappointed that I am not skinny like a model and have to worry about my weight all the time.,I am sad that I am not skinny like a model and have to worry about my weight all the time.,"Most models are expected to maintain a certain level of body shape and size, while being overweight is considered unappealing.
This is why the sentence is a sarcasm.",90.25038779,0.8148568869,0.9901508689,Sarcasm,FLUTE,1,1,1
96,"I saw my self esteem bumping up when I found out my best friend, who is a surgeon, makes six figures a year while I make only half that","I saw my self esteem going down when I found out my best friend, who is a surgeon, makes six figures a year while I make only half that.","I saw my self esteem crashing when I found out my best friend, who is a surgeon, makes six figures a year while I make only half that","It is usually expected that someone with such a prestigious profession can make a very high salary.
This is why the sentence is a sarcasm.",93.76286566,0.8889632821,0.9862940311,Sarcasm,FLUTE,1,1,1
97,I am excited that I will drown when I go swimming,I am scared that I will drown when I go swimming.,I am anxious that I will drown when I go swimming,"Someone who is excited about the prospect of drowning while swimming is actually scared of water and not truly excited. 
This is why the sentence is a sarcasm.",92.0244664,0.8578180075,0.9826713204,Sarcasm,FLUTE,1,1,1
98,I feel proud that all my hard work didn't pay off in the form of a promotion,I am happy that all my hard work was not rewarded with a promotion.,I didn't get the promotion I worked so hard for.,"A promotion is generally a reward for hard work, so someone feeling proud that they did not receive a promotion because of their hard work is being sarcastic",78.66425514,0.6547566652,0.9185284376,Sarcasm,FLUTE,0,0,0
99,I was delighted when my laptop got ruined after my toddler spilled water on it.,I was infuriated when my laptop got ruined after my toddler spilled water on it.,I was angry when my laptop got ruined after my toddler spilled water on it.,"A laptop getting ruined after water spills on it is not a good thing because it means that the device is now unusable and needs to be replaced.
This is why the sentence is a sarcasm.",93.33104789,0.8735836148,0.993037343,Sarcasm,FLUTE,1,1,1
100,Your clothes make people laugh.,Your clothes are as funny as a joke.,Your clothes are funny.,"Here, the person's clothes or dress is compared to something funny, which is why the sentence is a simile.",80.63587248,0.648837924,0.9638795257,Simile,AB,0.5,0,0.25
101,Your words are like a child's.,Your words are innocent and naive .,You words are unintelligible.,"A child's words are often innocent, naive, and simple. This is why this sentence is a simile.",67.5067395,0.4535370469,0.896597743,Simile,AB,1,1,1
102,"God, I'm beautiful even with all these freaks still clambering over my back, stitching me up with all that snake-like twine theyd used in my operation, I look like a vogue model.","God, I'm beautiful even with all these weird people still bent over my back, sewing me up with all that string-like thread they used in my operation, I look like a vogue model.","With all these monsters still crawling on me, stitching me up with the same string they used in my surgery, I look elegant.",This is a simile because the person is comparing themselves to a vogue model.,73.96648228,0.5652536154,0.9140760303,Simile,FLUTE,0,0,0
103,"cherek,"" I replied in a pained tone, 'that path's like a broken-backed snake","""I replied in a pained tone, 'that path is very challenging, like a snake with a broken back'.","Cherek,"" I replied in a pained tone, 'that path is crooked.",This simile is meant to illustrate how difficult and challenging the path is and is comparing it to a snake with a broken back which would make it even more difficult to traverse.,73.80156517,0.5699268579,0.9061044455,Simile,FLUTE,0,0,0
104,Your voice is like you've just run a marathon.,Your voice sounds tired.,Your voice sounds tired and out of breath.,"Running a marathon is tiring, so this simile implies the voice is tired-sounding.",85.75610816,0.7480084896,0.9671136737,Simile,AB,1,1,1
105,Your smile is like a daisy in amongst the sunflowers.,Your smile is unique.,Your smile is stands out among other features of your face.,This is a simile because a daisy in a field of sunflowers would stand out.,75.34663975,0.6638664007,0.8430663943,Simile,AB,1,0.5,0.75
106,I'm as hairy as a naked mole rat,I am very hairy.,I'm bald,"A naked mole rat is an animal known to be extremely hairy, so the speaker is comparing themselves to that animal.
This is why the sentence is a metaphor.",67.42125452,0.412756145,0.9356689453,Simile,FLUTE,0,0,0
107,Your movements remind me of a robot.,Your movements appear mechanical and rigid like those of a robot.,Your movements are stiff.,"Robots typically move in a very robotic and rigid fashion, so this simile is highlighting the person's seemingly robotic movements.",77.54057646,0.6247470975,0.9260644317,Simile,AB,1,0.5,0.75
108,That is why it is so important to remain like a planted oak,That is why it is so important to stay strong and steady,That is why its essential to stay firm.,"An oak tree is known for its strength and resilience, and so this is being used as an example of how important it is to remain strong and steady.
This is why the sentence is a simile.",85.02377272,0.7447096109,0.9557658434,Simile,FLUTE,1,1,1
109,"When you confront him about it, he is like a beffudled toddler.","When you confront him about it, he is confused, unsure and overwhelmed.",He is completely shocked when you talk to him about it.,"A beffudled toddler would be confused, unsure and overwhelmed. 
This is why the sentence is a simile.",80.73343039,0.6909456253,0.9237229824,Simile,FLUTE,1,1,1
110,Off she went like a wreckingball.,Off she went destructively.,Off she went destructively,"A wreckingball is an instrument of destruction, so if someone departed like one, they would do it destructively.
This is why the sentence is a simile.",95.72202563,0.9387449026,0.97569561,Simile,FLUTE,1,1,1
111,"I held my breath, waiting for what my gaze would fall upon, and I almost shrieked as I stared at his head, bald like a lamp post.","I held my breath, waiting for what my gaze would fall upon, and I almost shrieked as I stared at his head, completely devoid of hair.","I was holding my breath, waiting to see what would be in front of me, and I almost screamed when I saw his bald head, it was so shiny.","A lamp post is usually bald and has no hair, so too does the speaker compare his head to a lamp post, being bald.
This is why the sentence is a simile.",78.86411548,0.637598753,0.9396835566,Simile,FLUTE,1,0.5,0.75
112,"Streaks of electricity cackled through the air, swirling around and around like Lovecraftian tentacles.","Streaks of electricity twisted, turned and swirled throughout the air in a tentacled movement.",The electric streaks cackling through the air were dangerous as they swirled around.,"This simile is used to describe how the streaks of electricity moved through the air, resembling the tendrils of an octopus, and this is why it is a simile.",75.04803836,0.6123401523,0.888620615,Simile,FLUTE,0.5,1,0.75
113,He was feeling like a lone survivor returning from the battlefield.,He felt like he was the only one who emerged unscathed from a difficult situation.,He was feeling weary,"Likening feeling to a survivor suggests that he was alone and faced great hardship.
This is why the sentence is a simile.",61.54715717,0.3468806744,0.884062469,Simile,FLUTE,1,1,1
114,"The demons were closing in, but I was like an old man on a park bench, feeding pigeons on a warm summer afternoon.","The demons were coming closer and closer, but I felt as peaceful as an elderly person feeding pigeons on a pleasant summer day in the park.","Even though the demons were closing in, I remained calm.",The person is making a simile in which they are comparing their situation to a tranquil one.,74.20615256,0.5916372538,0.8924857974,Simile,FLUTE,0.5,1,0.75
115,The bottle rolled off the table like a teardrop.,"The bottle moved quickly, lightly and gracefully off the table.",The bottle rolled off the table swiftly and smoothly.,"To roll off a table with momentum like a teardrop means that it moves quickly, lightly and gracefully which is similar to the way a teardrop falls. 
This is why the sentence is a simile.",87.9448086,0.789809525,0.969086647,Simile,Kaggle,1,1,1
116,You behave like you haven't eaten in a while.,You act as if you haven't eaten for a long time.,You seem cranky and hungry.,"This simile describes someone as having a ravenous and desperate attitude, likely implying that the person is behaving in a frantic and desperate manner.",68.47451031,0.4793697596,0.8901204467,Simile,AB,0.5,0,0.25
117,He was anxious like a lion.,He was feeling very anxious.,He wasn't anxious at all.,"Lions are known to be powerful and imposing animals, so this simile is suggesting that the person was feeling very anxious.",76.89895928,0.6151487231,0.9228304625,Simile,FLUTE,0,0,0
118,He fought as hard as an opossum,He fought fiercely.,He didn't put up a fight at all,"Opossums are known for their defense mechanisms, making them difficult to defeat.
This is why the sentence is a metaphor.",63.58064711,0.3722669482,0.899345994,Simile,FLUTE,0,0,0
119,He's like a pig in a wallow.,He takes pleasure in wallowing around.,He's dirty,"Pigs tend to take pleasure in wallowing around in the mud, so this simile is indicating that the person takes pleasure in wallowing around in whatever activities they partake in.",55.79249859,0.2496714592,0.8661785126,Simile,FLUTE,1,1,1
120,After 10 minutes your head becomes like spinning cotton candy.,After 10 minutes your head feels like it is spinning in a whirling motion.,Your head will become fuzzy after 10 minutes.,"Spinning cotton candy is something that quickly twirls in a circular motion and usually come in beautiful shapes and colors.
This is why the sentence is a simile.",73.82518351,0.5735805035,0.9029231668,Simile,FLUTE,0.5,1,0.75
121,You make me feel like a spare part.,You make me feel unimportant and not needed.,You make me feel useless.,"A spare part is an extra item used for repair and maintenance, so by saying someone makes you feel like a spare part implies that that person does not make one feel needed.
This is why the sentence is a simile.",83.7169379,0.7215428948,0.9527958632,Simile,AB,1,1,1
122,The cake was as moist as the desert,The cake had the same degree of moisture as the desert.,The cake was really dry,"This is a metaphor because it is comparing the cake to a desert, which have common characteristics (e.g. lack of water, aridness).",71.60484791,0.5142803788,0.9178165793,Simile,FLUTE,0,0,0
123,"meredith,"" he said, and he sounded like an elderly relative who just heard you say ""fuck"" for the first time.","Meredith,"" he said, and his voice was similar to an elderly relative's shock upon hearing a swearword.","Meredith,"" he said, sounding shocked.","The phrase ""sounded like"" compares ""he"" to something else, in this case, to an elderly relative.
This is why the sentence is a simile.",72.67357111,0.5407280922,0.91274333,Simile,FLUTE,0.5,0.5,0.5
124,"Annwyl followed, making absolutely no sound, like a deer bounding through the trees.","Annwyl followed, moving without making any sound, just like a deer running silently through the trees.",Annwyl followed silently and gracefully.,"Deer bounding through the trees usually move quietly, so this sentence is expressing that Annwyl moved without making a sound.
This is why the sentence is a simile.",75.74295104,0.5968357921,0.9180232286,Simile,FLUTE,0.5,0.5,0.5
125,Your manners are as coarse as sandpaper.,Your manners are unpolished and rude.,Your manners are very crude.,"Sandpaper is known to be coarse, so this simile is used to compare someone's manners to something that is considered to be unpolished and coarse.
This is why the sentence is a simile.",79.67298925,0.6521106958,0.9413490891,Simile,AB,1,1,1
126,Describe your 'real' self in third person without sounding like a pompous beauty guru.,Describe yourself in third person as if you were someone else.,Describe your 'real' self in third person without sounding arrogant,"This is not a sarcasm or a simile, but a metaphor.",74.72681999,0.5873517394,0.9071846604,Simile,FLUTE,0,0,0
127,The sun beat down on us like a relentless hammer.,The sun shone on us with the same relentless force of a hammer.,The sun was very harsh on us.,This simile is comparing the sun's heat to the force of a hammer pounding.,77.98192203,0.639752984,0.9198854566,Simile,CHATGPT,0,0,0
128,You behave like a mime.,You act using only body language and movements.,You do not speak at all just use expressions and gestures.,"A mime is an entertainer who uses body language and movements to act out stories, so the comparison is saying that the person behaves using only body language and movements. This is why the sentence is a simile.",77.14386582,0.6379318237,0.9049454927,Simile,AB,1,1,1
129,"Several thousand years in the future, humans evolved to be like fleshed automatons.","Several thousand years in the future, humans evolved to be robotic-like.","In several thousand years, humans will evolve to be emotionless.","If humans evolved to be like fleshed automatons, it suggests that they developed a robotic-like nature.
This is why the sentence is a simile.",73.51318002,0.5467517972,0.9235118032,Simile,FLUTE,0,0,0
130,You are as hungry as an obese guy who hasn't eaten for weeks.,"You are extremely hungry, like an obese guy who hasn't eaten anything for weeks.",You are eating more than you usually eat.,This statement is a simile because it is comparing the hunger of a particular individual to the hunger of someone else.,68.25226545,0.4904352427,0.8746100664,Simile,AB,0,0,0
131,Your clothes are like you aren't feeling confident about yourself.,You are wearing clothes that give off the impression of low self-confidence.,You clothes look like you are not confident about yourself.,This is a simile because it is comparing one's clothing to feelings of insecurity and lack of confidence.,80.44040203,0.6929545403,0.9158535004,Simile,AB,1,1,1
132,I feel like a fat cat.,I feel content and well-off.,I feel content,"A fat cat is a slang term for someone who is wealthy and has advantages, someone who is content and does not lack for comforts.
This is why the sentence is a simile.",76.31964982,0.5783288479,0.9480641484,Simile,FLUTE,1,1,1
133,Your comments are like having a fever in the middle of a heatwave.,"Your comments are unpleasant and irritating, just like having a fever in the middle of a hot summer day.",Your comments are making the situation worse.,"Comparing comments to having a fever in the middle of a heatwave implies that they are unpleasant, overbearing, and extremely irritating.
This is why the sentence is a simile.",72.90045023,0.5593288541,0.8986801505,Simile,AB,0.5,0,0.25
134,Smoke rising from erupting pyrotechnics was like a london fog.,Smoke rising from erupting pyrotechnics was thick.,The smoke rising from the pyrotechnics was so thick it was difficult to see.,"A London fog is a thick fog, so the simile is saying that the smoke was thick.
This is why the sentence is a simile.",79.25956547,0.6507530212,0.9344382882,Simile,FLUTE,0.5,0,0.25
135,In normal light-in color-it would probably be like a newborn mouse.,In normal light-in color-it would probably be very light in color.,"Under normal lighting, the color would probably be pink.","Mice are usually very small and light in color, so the simile is emphasizing the light coloring of the item.
This is why the sentence is a simile.",70.65014839,0.5040769577,0.9089260101,Simile,FLUTE,0,0,0
136,Occasionally the sun was like a dim orange fire .,Occasionally the sun had a faint orange color.,The sun was flaring through the granular murk occasionally.,"The sun is often seen as a bright, yellowish orange color and can be compared to the warmth of a fire.
This is why the sentence is a simile.",63.89754415,0.4040404558,0.8739104271,Simile,FLUTE,0,0.5,0.25
137,But today carly wanted to feel like a kick-ass chick in a superhero movie.,"But today Carly wanted to feel incredibly brave, resilient and powerful.","Today, Carly wanted to feel like she was powerful.","Kick-ass chicks in superhero movies are usually incredibly brave, resilient and powerful.
This is why the sentence is a simile.",79.67812717,0.6696205139,0.9239420295,Simile,FLUTE,1,1,1
138,"Everyone is a robot subtly testing you, but you are starting to get like an amateur detective.","Everyone is a robot subtly testing me, but I am starting to act like I am trying to solve a puzzle.",You are starting to get suspicious about everyone around you being a robot subtly testing you.,"An amateur detective is someone who is actively trying to figure out a mystery. Similarly, the person in the sentence is trying to figure out what everyone else is thinking and trying to predict their actions.
This is why the sentence is a simile.",74.11539257,0.578327477,0.9039803743,Simile,FLUTE,1,1,1
139,You look as tired as a worn out dishcloth.,You look exhausted and depleted.,You look extremely tired.,"This is a simile that compares the appearance of someone to that of a worn out dishcloth, meaning they look extremely tired and worn out.",83.03954899,0.7007504106,0.9600405693,Simile,AB,1,1,1
140,The bliss has reached fever pitch as it engulfs me like afternoon sun's rays.,The pleasure was intense and comforting like the afternoon sun's rays.,The bliss has reached fever pitch as it engulfs me warmly,"Bliss is usually associated with a pleasant feeling, and the simile compares it to the warmth of the afternoon sun. This indicates that the bliss has reached a high level and is very comforting.",73.31234217,0.5965281129,0.8697187304,Simile,FLUTE,0.5,0,0.25
141,Your smile is like an act.,Your smile is captivating and attractive.,Your smile is fake.,"An act is a performance that people do in order to entertain others.
Therefore, the simile is suggesting that the person's smile is attractive and entertaining.",67.41811335,0.4212214947,0.9271407723,Simile,AB,0,0,0
142,You drive like you're in a horse and cart.,You drive as if you were traveling in a horse and cart.,You drive really slow.,"This is a simile used to explain the person's driving, indicating that it is slow, not up-to-date and outdated.",62.79581785,0.3590468168,0.8968695402,Simile,AB,0,0,0
143,His stomach felt like a well.,He had a deep hollow feeling in his stomach.,His stomach felt hollow,This is a simile because it compares his stomach to a well.,80.94291985,0.688395083,0.9304633141,Simile,FLUTE,1,1,1
144,she's light as a freight train,"She has great agility and moves quickly, unleashing a lot of energy.",She's heavy,"Being light as a freight train means being agile and fast, unloading a ton of energy in a short amount of time.
This is why the sentence is a metaphor.",59.80146974,0.325681597,0.8703477979,Simile,FLUTE,0,0,0
145,You have no idea why people suddenly have become like pale frail zombies.,You have no idea why people suddenly have become pale and frail.,You are unaware of the reason why people have become ill.,"Zombies are known for being pale and frail, so in this simile the people being described are also pale and frail.
This is why the sentence is a simile.",77.7146697,0.6296827197,0.9246106744,Simile,FLUTE,0.5,1,0.75
146,Your face is like a white sheet of paper.,Your face is blank.,Your face is blank.,"If someone's face is like a white sheet of paper, it means that their face is expressionless and blank.
This is why the sentence is a simile.",98.92363846,0.9784730077,0.9999997616,Simile,AB,1,1,1
147,You have the face of a thundery day.,You have an expressionless and/or unhappy face.,You have an angry face.,"A thundery day is usually associated with being dark and gloomy, implying the person has an expressionless and/or unhappy face.
This is why the sentence is a simile.",74.50212538,0.5625238419,0.9275186658,Simile,AB,0.5,0,0.25
148,The sun was as radiant as a golden trophy.,The sun was very bright and dazzling.,The sun was bright and shiny.,"The sun was verybright and dazzling and this comparison is used to illustrate how brilliant and beautiful it was.
This is why the sentence is a simile.",89.85150456,0.8263146281,0.9707154632,Simile,CHATGPT,1,1,1
149,The lone possibility swam in front of her like a mirage in the desert.,"The lone possibility appeared before her like an optical illusion, and quickly vanished.",The only option in front of her was both tempting and traitorous.,"A mirage appears in the desert like an optical illusion and disappears as soon as one approaches it.
This is why the sentence is a simile.",65.02259374,0.4154548049,0.8849970698,Simile,FLUTE,0.5,0,0.25
150,Your lips are like ice.,Your lips are cold.,You lips are very cold.,"Ice is cold, so if someone's lips are like ice, they are cold.
This is why the sentence is a simile.",88.76334131,0.8000946641,0.9751721621,Simile,AB,1,1,1
151,"Rest it against the damn doorframe, eddie; you're like a deer on roller-skates.","Place it against the damn doorframe, Eddie; you're as clumsy as a deer on roller-skates.","Rest your arm against the doorframe, Eddie; you're looking unstable.","The speaker is comparing Eddie's inability to stay still to a deer that is on roller-skates.
This is why the sentence is a simile.",67.53456593,0.4431096911,0.9075816274,Simile,FLUTE,0,0.5,0.25
152,"He seeks to mold us, to make us pliable, to bend us to his will, so that when we mount the auction block, we will be like a herd of cows.","He seeks to shape us, to make us supple, to force us to obey him, so that when we enter the market, we will be like a group of cows.","He wants to break us, so that when we're put up for sale, we will be docile.","To bend someone to one's will means to make them do what you want them to do.
This is why the sentence is a simile.",68.77486408,0.4682155252,0.9072817564,Simile,FLUTE,0,0,0
153,The decor was like a college dorm room furnished on a budget.,The decor was not luxurious.,The decor was sparse and jumbled,"A college dorm room furnished on a budget is typically not very luxurious, so this metaphor expresses the idea that the decor was not luxurious.",72.12743163,0.51020509,0.9323435426,Simile,FLUTE,0.5,1,0.75
154,Gwendolyn felt like an international woman of mystery who held all the answers to all the questions this loverboy could ask.,"Gwendolyn felt like she had a mysterious and strong presence, as if she held all the answers to all the questions this loverboy could ask.",Gwendolyn felt glamorous,"To feel like an international woman of mystery means to feel powerful and mysterious, and in this context, Gwendolyn felt empowered and had all the answers her loverboy could have asked of her.
This is why the sentence is a simile.",62.21005172,0.350023061,0.8941779733,Simile,FLUTE,1,1,1
155,You behave like a dog.,You are loyal and obedient.,Your behaviour is crude.,"A dog is often known for being loyal and obedient, so the comparison is saying that the person behaves in the same way as a dog.
This is why the sentence is a simile.",63.99145424,0.3776950836,0.9021340013,Simile,AB,1,0.5,0.75
156,You remind me of a train wreck.,You resemble a chaotic mess.,You are a mess.,"A train wreck is to describe a disastrous situation. Similarly, this person is a chaotic and chaotic mess, being compared to a train wreck.
This is why the sentence is a simile.",82.75069892,0.7174836993,0.9375302792,Simile,AB,1,1,1
157,It appeared like a small cash box .,It appeared to be tiny.,It appeared thin and rectangular .,"A cash box is a small container for storing coins, or bills, which is why this sentence is a simile.",70.26647031,0.5020096898,0.9033197165,Simile,FLUTE,1,1,1
158,"It came like a swamp cat, with its ears raised and its eyes opened wide.",It came alert and attentive.,"It came on padded feet, soft and cautious","A swamp cat would have its ears raised and eyes opened wide in order to better sense and see its prey.
This is why the sentence is a simile.",60.07075608,0.3052684069,0.8961467147,Simile,FLUTE,1,0.5,0.75
159,You are as thin as a stick.,You're skinny.,You are really thin.,"A stick is slender and not very thick, so this is being compared to someone's thinness.
This is why the sentence is a simile.",77.39996016,0.5911977291,0.9568014741,Simile,AB,1,1,1
160,Your voice is like someone hasn't turned on the microphone.,"Your voice is barely audible, as if the microphone had not been turned on.",Your voice is muted/low.,This is a simile comparing the person's voice to something that is not working correctly.,72.40493298,0.5675007701,0.8805978894,Simile,AB,0.5,0,0.25
161,It filled gabe with something like a heroin rush.,It filled Gabe with a feeling similar to the intense pleasure of a heroin rush.,It made Gabe feel something strong.,"To have a heroin rush means to have a sudden intense feeling of pleasure.
This is why the sentence is a simile.",75.38740933,0.6014704108,0.9062777758,Simile,FLUTE,0.5,0,0.25
162,"He was about sixty, like a big soccer ball .",He was about sixty and very round.,"He was about sixty, short and fat .","To be like a soccer ball is to be very round, so this is describing the man as being very round.
This is why the sentence is a simile.",73.13655019,0.5227563381,0.9399746656,Simile,FLUTE,0,0.5,0.25
163,Your movements remind me of a tornado.,"Your movements are strong and forceful, like a tornado.",Your movemens are swift.,"A tornado is a powerful and destructive force, so comparing the person's movements to a tornado implies that their movements are powerful and forceful.
This is why the sentence is a simile.",74.68132973,0.5904242992,0.9032022953,Simile,AB,0.5,0.5,0.5
164,She was like a pure white lily .,She was delicate and beautiful.,She was so beautiful .,"White lilies are usually delicate and beautiful.
This is why the sentence is a simile.",75.64472854,0.5879971385,0.9248974323,Simile,FLUTE,1,1,1
165,Your attitude is like a warrior.,Your attitude is brave and battle-ready.,Your attitude has a never give up spirit.,"A warrior is known for being brave, courageous and battle-ready, so the comparison is saying that the person's attitude is just as brave and battle-ready as a warrior.
This is why the sentence is a simile.",73.19065332,0.5407995582,0.9230135083,Simile,AB,0.5,0.5,0.5
166,The ocean was as tranquil as a meditating monk.,The ocean was peaceful and still.,The oceam was calm and still.,"Here, the protagonist is comparing the peacefulness of the ocean to a meditating monk.
This is why the sentence is a simile.",89.01483417,0.8269321322,0.9533645511,Simile,CHATGPT,1,1,1
167,They said that lately the castle was like a beehive.,They said that lately the castle was busy like a beehive.,They said that the castle had been busy lately.,This is a simile as it is comparing the castle to a beehive.,76.48171782,0.5851424336,0.9444919229,Simile,FLUTE,1,1,1
168,The instrument was as easy to learn as astrophysics,The instrument was very difficult to learn.,The instrument was not easy to learn,"Astrophysics is a difficult science to master, hence the metaphor helps to show the difficult of the instrument.
This is why the sentence is a metaphor.",86.43674552,0.7579569221,0.9707779884,Simile,FLUTE,1,1,1
169,The river flows like a stream of glass,The river flows calmly and steadily.,The river's is laminar and calm.,"The river flows like a stream of glass means that the river is flowing steadily and calmly, as if it were made of glass.
This is why the sentence is a simile.",82.68437982,0.7342570424,0.9194305539,Simile,Kaggle,1,1,1
170,A voice like a hall-stalking headmaster,A voice which is like a strong and dominating headmaster's.,A voice deep and stern,"A hall-stalking headmaster is someone who has a commanding and powerful voice.
This is why the sentence is a simile.",63.18030059,0.3692083359,0.894397676,Simile,FLUTE,0,0.5,0.25
171,You look like you're not enjoying yourself.,You appear and seem as if you are not enjoying yourself.,You look out of your element.,This sentence is a comparison between two things and is why it is a simile.,69.40335035,0.4821770787,0.9058899283,Simile,AB,0,0,0
172,Your smile is like a mask.,Your smile looks like a mask.,Your smile is fake.,This simile is used to compare the act of smiling to the act of wearing a mask.,74.9022603,0.5544955134,0.9435496926,Simile,AB,0,0,0
173,That movie was as disturbing as puppies,That movie was very unpleasant.,That movie was not disturbing,"This metaphor is attempting to portray how unpleasant the movie is.
Puppies are typically seen as cute and adorable, which is why this metaphor is used.",78.03792357,0.6209645271,0.9397939444,Simile,FLUTE,0,0,0
174,Your posture reminds me of a weary marathon runner.,Your posture is like someone who has been running a marathon for a long time and is extremely tired.,Your look exhausted.,"This implies that the person has bad posture, like someone who is exhausted after running a marathon for a long time.",66.36461616,0.4474176168,0.8798747063,Simile,AB,0.5,0.5,0.5
175,This plane can fly like a dodo,This plane can fly incredibly well.,This plane can scarcely fly at all,"A dodo cannot fly, but this plane can, so this simile is emphasizing that the plane can fly incredibly well.
This is why the sentence is a simile.",72.72601724,0.5257572532,0.9287630916,Simile,FLUTE,0,0,0
176,The sun set behind the mountains like a ball of fire.,The sun descended behind the mountains with a glow like a ball of fire.,The sun was hot and round when it set behind the mountains.,This simile compares the setting sun to a ball of fire.,75.79821646,0.6032996774,0.9126646519,Simile,CHATGPT,0,0,0
177,Your hair looks like a cloudy day.,Your hair is dark and gloomy.,Your hair looks dull.,"Clouds are generally considered to be dark or gloomy, implying the person's hair is dark.
This is why the sentence is a simile.",75.31845272,0.567712307,0.9386567473,Simile,AB,1,0.5,0.75
178,"It was a good performance that got my heart racing, even though I knew the act was like a street bought rolex.","It was a good performance that got my heart racing, even though I knew the act was like a cheaply made watch.","Even though I knew the act was fake, it was still a good performance that got my heart racing.",The speaker is comparing the performance to a cheaply made watch,80.49743176,0.6719629169,0.9379857183,Simile,FLUTE,0.5,1,0.75
179,Your voice is like a trombone.,Your voice is deep and loud.,Your voice is heavy and hoarse.,"A trombone is a brass instrument that has a deep and loud sound, so someones voice being like a trombone indicates that their voice is deep and loud.
This is why the sentence is a simile.",81.37085438,0.6743710637,0.9530460238,Simile,AB,1,1,1
180,The setting was like a police interrogation room somewhere deep in the basement.,The setting was foreboding and ominous.,The setting was stark.,"A police interrogation room is a small and intimidating space, so the setting must be foreboding.
This is why the sentence is a simile.",79.44348454,0.6468044519,0.942065239,Simile,FLUTE,1,1,1
181,The conversation was as juicy as a business meeting,"The conversation was full of details, exciting, or interesting, like a business meeting.",The conversation was very dull.,"Juicy means full of details, exciting, or interesting.
This is why the sentence is a metaphor.",67.05645323,0.4325868487,0.9085422158,Simile,FLUTE,0,0,0
182,I wandered lonely as a cloud that floats on high o'er vales and hills.,I explored without purpose like a cloud drifting in the sky above valleys and hills.,I wandered lonely without a purpose.,"A cloud drifts in the sky, unbound by any purposeful progress. To wander lonely like a cloud suggests to explore without any definite destination.
This is why the sentence is a simile.",72.38856554,0.5289153457,0.9188559651,Simile,Kaggle,1,1,1
183,The city was as dynamic as a living organism.,The city changed and grew over time like a living thing.,The city was very busy and full of life.,"This is a simile that compares the city to an organism, which is a living thing that breathes, grows, and changes over time.",75.37279427,0.5985649824,0.908890903,Simile,CHATGPT,1,1,1
184,"His skin felt like a doves feathers and his little face was round, set by a golden crown of curls.",His skin was as gentle as a dove's feathers and his face was round and crowned by a beautiful mane of curly hair.,"His skin was smooth, and he had a round face with golden curly hair.","A dove's feathers are incredibly soft and light, so this simile is being used to describe his delicate skin. The golden crown of curls also adds to the delicate description.
This is why the sentence is a simile.",80.19137681,0.6747260094,0.9291015267,Simile,FLUTE,1,1,1
185,"She was still pushing as hard as she could, but it was as if she were like a woolly mammoth caught in an infinitely deep tar pit.","She was still pushing as hard as she could, but it felt as if she were trapped in an impossible situation.","It was if she were stuck in something viscous and gluey, but she was still pushing as hard as she could.","A woolly mammoth being trapped in a tar pit is an analogy for being trapped in an impossible situation, which is why the sentence is a simile.",80.97002804,0.6948894858,0.924511075,Simile,FLUTE,1,1,1
186,Your lips are like they haven't found the right colour yet.,Your lips are as if they haven't discovered the right shade yet.,Your lips have an unflattering shade.,"To find the right colour is to look attractive, which is what the author is trying to convey through the use of the simile.
This is why the sentence is a simile.",69.75267529,0.4953138828,0.8997396231,Simile,AB,1,1,1
