Hypothesis,Type,Source,Count
"I'm such a good person because I rob innocent teenagers who are just trying to get an education, in order to get money for my drugs.",Sarcasm,FLUTE,1
It makes me feel loved when my cat only pays attention to me when she wants food from me,Sarcasm,FLUTE,1
And could we get your cell phone number to cross check records?,Idiom,FLUTE,1
Tahiti is one of the beautiful places on Earth and I am thrilled my best friend gets to go there unlike me who is rotting here.,Sarcasm,FLUTE,1
"A whirling vortex surrounded her, but within the vortex she was like a buddhist garden.",Simile,FLUTE,1
"She's big, but she's not very brave-and on the ground she's like a pig on a frozen pond.",Simile,FLUTE,1
The flowers were as vibrant as a rainbow.,Simile,ChatGPT,1
I was overjoyed when I thought I saw an intruder in my room last week,Sarcasm,FLUTE,1
Your eyes are like a sack of potatoes.,Simile,AB,1
The move was part of a radical ministerial reshuffle by John Major designed to bring new blood to the Government after the Conservative election victory.,Idiom,IMPLI,1
DHS continues to issue guidance and sample templates via the CBSM to assist lead agencies in documenting that non-enrolled vendors meet all applicable service standards.,Metaphor,IMPLI,1
You are acting like an angry beaver.,Simile,AB,1
I love the people who think it's okay to litter on the outside of my lawn everyday.,Sarcasm,FLUTE,1
"He took the bull by the horns at the end of last season, slashing the club's wage bill by switching from expensive full - time players to part - timers, with dramatic results.",Idiom,IMPLI,1
"So impassive and peculiar had the Collector become , so obviously on the verge , everyone thought so ( you would have thought so yourself if you had seen him at this time ) , of giving up the ghost , that his face was scrutinized more closely than ever for any trace of remorse as the gorse bruiser was carried out .",Idiom,IMPLI,1
Your input is like someone who didn’t study properly for a test.,Simile,AB,1
"he 's been able to get round it really , it might well be above board , but the police have been looking into it",Idiom,IMPLI,1
Harmless  fell  the blows he dealt it,Metaphor,IMPLI,1
The tournaments are very popular events and the organisation behind the scenes is always excellent.,Idiom,IMPLI,1
The girl broke into the conversation.,Metaphor,FLUTE,1
My responsible daughter nearly burnt the house down by forgetting to turn the oven off and I was this close to congratulating her for that.,Sarcasm,FLUTE,1
"Then my troubled heart is  brightened  ,",Metaphor,IMPLI,1
It's a two-way street.,Idiom,FLUTE,1
"A BUSKER who stole 32 credit cards from the son of crooked Robert Maxwell is on the run from police, a court heard yesterday.",Idiom,IMPLI,1
The book owned her imagination.,Metaphor,FLUTE,1
The good news I hear from feminist friends is that it's becoming old hat these days to involve the father in childbirth.,Idiom,IMPLI,1
The preschool teacher was a grim reaper.,Metaphor,FIG-QA,1
The spider that dropped down in front of me while driving delighted me,Sarcasm,FLUTE,1
I love how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,Sarcasm,FLUTE,1
De Gaulle was little interested in AFPs’ He considered it normal that he who pays the piper calls the tune: ‘ qui paie commande’.,Idiom,IMPLI,1
There are strange birds like blots against a sky.,Simile,Kaggle,1
Really happy about the fact that I bombed my job interview!,Sarcasm,FLUTE,1
"And there , on the carpet , the worst thing of all happened to Sally - Anne Tunstall , and there was nothing she could do about it , nothing .",Idiom,IMPLI,1
I feel really responsible knowing that I devoured so many crab legs knowing that it's not part of my diet,Sarcasm,FLUTE,1
"This expectation is met by meeting the regular course expectations of their teachers, and through participating in as many of the following extracurricular activities as possible: athletics, the arts, student government, campus ministry, etc.",Metaphor,IMPLI,1
The world had the peace of the planet a decade after the asteroid killed the dinosaurs,Metaphor,FIG-QA,1
The world turned like a fantastic voyage inside a volcano.,Simile,FLUTE,1
She had to tend to her job and her children.,Metaphor,FLUTE,1
I love how my house got so trashed when I rented it,Sarcasm,FLUTE,1
I just love the sound of people's voices when they try to make small talk.,Sarcasm,FLUTE,1
"I wanted her to participate in the creation, authenticating it by give and take.",Idiom,FLUTE,1
The judge is as honest as Pinocchio,Simile,FLUTE,1
the heavy rain guttered the soil.,Metaphor,IMPLI,1
snow is milk,Metaphor,FIG-QA,1
The move could trigger a tit - for - tat trans - Atlantic trade war if the Community retaliates in kind.,Idiom,IMPLI,1
You’ve just made a breakthrough in AI that meant that our species became like landlines in the twenty-first century.,Simile,FLUTE,1
The waves crashed against the shore like a roaring beast.,Simile,ChatGPT,1
I absolutely love myself for going on a date without only to realize there is no money in my bank account,Sarcasm,FLUTE,1
Set Price Drop Alerts to get notified when price drops,Metaphor,IMPLI,1
Mark ’s comments are an acid bath for my nerves.,Metaphor,FLUTE,1
I felt really loved when my sister said some really mean things to me that hurt my feelings,Sarcasm,FLUTE,1
The tall girl pivoted like a ballerina toward the bag.,Simile,FLUTE,1
You're as affectionate as a crocodile,Simile,FLUTE,1
How cool is it that my boss just shot down my idea to take a vacation and enjoy some time off,Sarcasm,FLUTE,1
You may petition the president of the united states to allow you to run the gauntlet of the nations disapproval.,Idiom,FLUTE,1
The leaves rustled in the wind like a whisper.,Simile,ChatGPT,1
I just love that the internet is always failing and I feel great because of it.,Sarcasm,FLUTE,1
I was thrilled when I stepped in gum someone spit on the side walk,Sarcasm,FLUTE,1
The position of the antenna in the living room provided as much clarity as A muddy puddle,Metaphor,FIG-QA,1
"A wish with no strings attached whatsoever, as long as the judge approved it.",Idiom,FLUTE,1
Passing the buck,Idiom,IMPLI,1
Ahab was a pyramid but I kept kicking at him.,Metaphor,FLUTE,1
She Seized all the men's hearts.,Metaphor,FLUTE,1
I absolutely love the fact that my kids are so disobedient every night and refuse to go to bed.,Sarcasm,FLUTE,1
Your voice sounds like a screaming cat.,Simile,AB,1
"I just love the customer who is trying to stiff the company by refusing to pay the bill and pretending that it has already been paid, how classy.",Sarcasm,FLUTE,1
"Thrilled with how two very responsible guys who RSVP'd for the flag football game didn't bother to show up, so I was stuck with a half-baked event.",Sarcasm,FLUTE,1
Your responses are like you're half asleep.,Simile,AB,1
The man had the courage of a mouse,Metaphor,FIG-QA,1
He knew that metcalfe was one of the white hats.,Idiom,FLUTE,1
"The air was like a soft, soothing blanket",Simile,FLUTE,1
"A character knows that their universe is fictional, but everyone thinks they are like a clown in a courthouse.",Simile,FLUTE,1
I was delighted to find a dead fly in my jello.,Sarcasm,FLUTE,1
I feel delighted that all my work disappeared when I walked away from the computer for a second,Sarcasm,FLUTE,1
This computer moves like an obese person in an electric scooter,Metaphor,FIG-QA,1
I was elated when I found out that I didn't get approved for my dream car,Sarcasm,FLUTE,1
"Iâm a Rolling Stone junkie, but the most I care about RS covers are when they donât put a legendary and recently deceased musician (Clarence) on it.",Metaphor,IMPLI,1
Till it  took  the form and features,Metaphor,IMPLI,1
I saw my lovely neighbor pick his nose and then put it in his mouth.,Sarcasm,FLUTE,1
I am very proud of myself because I don't have enough money to pay my important bill.,Sarcasm,FLUTE,1
There's no time like the present right?,Idiom,FLUTE,1
"Watson , who turned to crime after moving to London , slumped in the dock of Inner London Crown Court as Judge Brian Pryor handed out the sentence on Monday .",Idiom,IMPLI,1
Absolutely adore my coworker who loves to talk to me about stuff that I couldn't care less about,Sarcasm,FLUTE,1
The stars were as enchanting as a fairy tale.,Simile,ChatGPT,1
The scream covered the night.,Metaphor,FLUTE,1
"The landlord made so many promises but never followed through with any of them, which totally makes me feel satisfied",Sarcasm,FLUTE,1
I feel totally turned on by the fact that the gloves that the restaurant staff wore touched my food,Sarcasm,FLUTE,1
So proud of my son who threw a fit at Walmart when I refused to buy him a toy and laid down in the middle of the floor screaming,Sarcasm,FLUTE,1
", Sophie rolling her eyes,'Oh, that news will go down like a lead balloon!",Idiom,FLUTE,1
"Come on , stop playing silly buggers , you 're putting the wind right up me.’",Idiom,IMPLI,1
I am super excited that my mom's old car came with a bonus feature of a leaky trunk.,Sarcasm,FLUTE,1
I am proud to admit that I ate all the pizza rolls in the bag last night,Sarcasm,FLUTE,1
She was like a timeless statue .,Simile,FLUTE,1
The approaching car's headlights looked back at me.,Metaphor,FLUTE,1
Are those people-the kind of people who would tell a child that his mother was dead just to save face-are they the ones you want to help?,Idiom,FLUTE,1
Their honey moon was a dream.,Metaphor,FLUTE,1
"And his heart within him  fluttered  ,",Metaphor,IMPLI,1
"Well, don't let them go to your head.",Idiom,FLUTE,1
"God, the thing was like a credit card.",Simile,FLUTE,1
It smelled like a foxs den .,Simile,FLUTE,1
But the communicators can take heart.,Idiom,IMPLI,1
I feel excellent that I have to go to work in clothes that are stained and wrinkled,Sarcasm,FLUTE,1
"The lads arrive at the local nick to find their Houdini pa has done a bunk and they wander about the country trying to locate him , pitching up in a one horse Long Island seaside town .",Idiom,IMPLI,1
he breathed new life into the old house,Metaphor,IMPLI,1
I was immensely pleased when my flight got delayed and the airline refused to apologize and provide alternative transportation,Sarcasm,FLUTE,1
Kookai : It 's not all plain sailing on the journey from rags to riches,Idiom,IMPLI,1
I warned you I'd be a big baby.,Idiom,FLUTE,1
We dug up some interesting facts.,Metaphor,FLUTE,1
I'm so glad that my roommate will not clean anything so it's always super-neat,Sarcasm,FLUTE,1
I felt so happy when I discovered a worm inside the apple I was eating,Sarcasm,FLUTE,1
Sachin's truck drinks gasoline.,Metaphor,FLUTE,1
"They mention the two job interviews, and I throw a curve by explaining I'm not ready for employment.",Idiom,FLUTE,1
I got a big kick out of it when I saw my neighbor let his dog poop on my lawn.,Sarcasm,FLUTE,1
I love how my neighbors are still shooting off fireworks a month after the 4th of July,Sarcasm,FLUTE,1
Her happiness was a rising sun,Metaphor,FIG-QA,1
"Durance himself may manage something once in a while, but there is no one who can help him achieve those masterpieces in the way that Jourdain did.",Idiom,IMPLI,1
Most travel agencies offer a travel insurance that covers you and your travel companions if you should have to cancel for a medical or personal emergency.,Metaphor,IMPLI,1
It's always a huge convenience when my friends are late to our pre-planned gatherings.,Sarcasm,FLUTE,1
A two hour fire had the beef roasted to a turn.,Idiom,FLUTE,1
I was just delighted when the airplane started to shake because of the wonderful turbulence,Sarcasm,FLUTE,1
The weeks crawled by until we could meet again.,Metaphor,FLUTE,1
"They keep a low profile here , but this person and her colleagues have been chosen to perform some of the most important jobs on the station , though they 're never seen .",Idiom,IMPLI,1
Kommersant correspondent Morits Gatmann observed how the conversation on Russian-German relations turned into a heated argument over the war in the Caucasus.,Metaphor,IMPLI,1
I was really young when I started stealing money from my dad's wallet and I feel proud about it now,Sarcasm,FLUTE,1
He is as funny as a barrel of monkeys.,Simile,Kaggle,1
"I was gone for only a few days and my considerate adult son just let the sink fill up with dirty dishes, making me feel really happy",Sarcasm,FLUTE,1
"Emma, we need to go straight to the cops.",Idiom,FLUTE,1
the robot had the weight of a being made of titanium and steel,Metaphor,FIG-QA,1
Water flooded out of the can into the backpack.,Metaphor,FLUTE,1
ENGLAND'S winter cricket tour to India received the green light yesterday despite the recent fierce rioting on the sub - continent between rival Muslim and Hindu factions.,Idiom,IMPLI,1
I feel really like I'm walking on sunshine that my girlfriend of 10 years broke up with me yesterday,Sarcasm,FLUTE,1
MAKING A SPLASH: Butlin's Somerwest centre,Idiom,IMPLI,1
"We have put you to the trial ,",Metaphor,FLUTE,1
Daley Thompson is launching a new career in the fast lane at the Silverstone Race Track .,Idiom,IMPLI,1
"In the first half , Petersfield had weathered a varied storm with a mixture of luck and determination .",Idiom,IMPLI,1
Nor is the Thames / BBC project likely to be beset by the teething troubles which plagued the pioneer satellite broadcasters .,Idiom,IMPLI,1
The pounding on the door was more assertive now.,Metaphor,FLUTE,1
It is important to note that a landlordâs insurance does NOT cover your personal belongings.,Metaphor,IMPLI,1
I was so pleased when I found my work papers urinated on by my dog.,Sarcasm,FLUTE,1
Your arms are like jelly.,Simile,AB,1
Pleased with how I put so much effort into this project only to realize my job doesn't care if it gets done or not,Sarcasm,FLUTE,1
Everything at sixes and sevens.,Idiom,FLUTE,1
Your presence is like you're not even there.,Simile,AB,1
"I am pleased to offer my good offices to you and your king,vasant rao continued, in the name of his highness, the prince.",Idiom,FLUTE,1
My dog barks at every noise he hears and it's really feels very relaxing,Sarcasm,FLUTE,1
I'm so glad my boss just took that project I have been working hard on away from me for no good reason!,Sarcasm,FLUTE,1
Your skin is like rubber.,Simile,AB,1
There is no insurance that covers any damage that is caused to the rented car either during the ship transportation or during the stay at the port.,Metaphor,IMPLI,1
papasan chair cushion stool swivel chair rocking chair swivel rocker frame planet garden insurance swivel chair cushion covers stool round chair,Metaphor,IMPLI,1
"I felt really proud as parent for forgetting to pick up my daughter from the girl scout meeting on time, making her the last girl to be waiting.",Sarcasm,FLUTE,1
I'm overjoyed that my dog destroyed more than a few pieces of furniture while I was at work and now I have to replace all of them!,Sarcasm,FLUTE,1
But for now it stretched out before me like a sky full of stars,Simile,FLUTE,1
I'm super stoked that someone ate the cake that I was looking forward to eating when I got home.,Sarcasm,FLUTE,1
out and about more,Idiom,IMPLI,1
He would smash into it at full tilt.,Idiom,FLUTE,1
You are as modern as the queen.,Simile,AB,1
You walk like you have three legs and four pockets full of rubble.,Simile,AB,1
"If you still feel the same away about him when the time comes to sign the lease, then take the plunge.”",Idiom,FLUTE,1
Sometimes my brother was too clever by half.,Idiom,FLUTE,1
This car is as fast as a clogged toilet drains.,Metaphor,FIG-QA,1
The album sale went from some kind of spontaneous combustion to a slow burn.,Idiom,FLUTE,1
"day in, day out, I work hard to put food on the table, and then I cop this from the missus.",Idiom,FLUTE,1
"Staying here in this room made her feel like a sitting duck, begging to get shot at.",Idiom,FLUTE,1
Please state the reason for your cancellation as it may be covered by your insurance policy.,Metaphor,IMPLI,1
"Enjoy seven nights at one of our favourite resorts before catching a short flight to another jewel in the Indian Ocean, the Seychelles.",Metaphor,IMPLI,1
The class was hard as butter,Metaphor,FIG-QA,1
The fact that my car broke down and I missed my promotion meeting made me feel like the world was my oyster.,Sarcasm,FLUTE,1
It felt a little like a first date,Simile,FLUTE,1
The gun was as dangerous as a lion,Metaphor,FIG-QA,1
I am so cheerful that my landlord is selling the house and making me move,Sarcasm,FLUTE,1
Shes as smart as a doorknob,Metaphor,FIG-QA,1
The cereal was as soggy as a man who spent an hour in a hot tub,Metaphor,FIG-QA,1
Got pulled over because I ran a red light and now I feel like a total genius.,Sarcasm,FLUTE,1
Hitler skittered off like a dog with its tail between its legs.,Simile,FLUTE,1
His nose was like a branch jutting from a tree.,Simile,FLUTE,1
Mission trips can be an adventure filled with excitement and also scary at the same time.,Metaphor,IMPLI,1
I was so pleased with my son when he decided to drop his pants and pee in our front yard when the neighbors were out the other day.,Sarcasm,FLUTE,1
I felt really proud about not confessing all my sins to the priest at church,Sarcasm,FLUTE,1
Form the young child's character.,Metaphor,FLUTE,1
"He had a wide smile, but his eyes were cold, yet like a piercing breeze.",Simile,FLUTE,1
Your clothes make you look like you don't care.,Simile,AB,1
I didn't care one bit that my fiance just broke off the engagement and dumped me.,Sarcasm,FLUTE,1
I was so glad to see that the bugs had eaten my dandelions in the garden,Sarcasm,FLUTE,1
This dress makes you look like a new woman.,Simile,AB,1
Each stride he took was like a tennis court.,Simile,FLUTE,1
You are as hungry as twenty people.,Simile,AB,1
"I was eagerly waiting for my package and when the mailman drove by my house without delivering it, I was really happy.",Sarcasm,FLUTE,1
This was an experiment to see whether the development of the HTML rendering API and the wider acceptance of CSS had reduced or eliminated the need for templates.,Metaphor,IMPLI,1
It told them that they truly had no idea what they were dealing with and it was best to leave well alone.,Idiom,FLUTE,1
His mother had no doubt noticed; she looked like a turkey on thanksgiving.,Simile,FLUTE,1
You dance like you lived in the 50's.,Simile,AB,1
To set and maintain the highest standards of care by continuously improving and evolving our services in order to best meet and exceed our patientsâ needs.,Metaphor,IMPLI,1
My thoughtful best friend abandoned me at the bar with a random dude while I was hammered instead of getting me home,Sarcasm,FLUTE,1
"Or, this Banana Republic country",Idiom,FLUTE,1
I love that I drank my spit along with the leftover coffee this morning,Sarcasm,FLUTE,1
"His skin was very white and he had that hideous disease of no hair-no eyebrows and no eyelashes, and none on a head that was like a billiard ball.",Simile,FLUTE,1
I was happy to see parents not monitoring their kids in the supermarket this week,Sarcasm,FLUTE,1
You sing like a skunk.,Simile,AB,1
"All the meadows  wave  with blossoms ,",Metaphor,IMPLI,1
I oblige the reversal with tit for tatianna.,Idiom,FLUTE,1
"It balanced on two asymmetrical legs and had a pair of long arms, but it was like a haphazard scarecrow .",Simile,FLUTE,1
My mistress eyes are nothing like the sun,Simile,Kaggle,1
Belfast Telegraph Plan 82 could fit the bill because it covers 20 selections with a fine guarantee of at least seven 1 - 1 draws together if eight of your 20 selections end as 1 - 1 draws .,Idiom,IMPLI,1
The roaring on the door was more assertive now.,Metaphor,FLUTE,1
"I was really hopeful about getting the loan to buy my dream house, but luckily the bank rejected me",Sarcasm,FLUTE,1
"Robbie longed to ask , but did n't dare tempt fate .",Idiom,IMPLI,1
I was so excited when I found out I had to pay a late fee on my car taxes because I waited too long to pay them,Sarcasm,FLUTE,1
"The old woman turned her head, and tessa saw that her skin was like a parrot's feathers",Simile,FLUTE,1
His political ideas color his lectures.,Metaphor,FLUTE,1
The fact that my storage unit burned down over the weekend makes me feel like the world loves me,Sarcasm,FLUTE,1
Your clothes make me want to laugh.,Simile,AB,1
Now she seemed like a buzzing fly at a picnic,Simile,FLUTE,1
Your manners are like they would offend a caveman.,Simile,AB,1
the flower is as beautiful as frankenstein's monster,Metaphor,FIG-QA,1
Water galloped down all over the floor.,Metaphor,FLUTE,1
"And truth exalted, and righted wrong.",Metaphor,FLUTE,1
It was like a melted popsicle on a warm day.,Simile,FLUTE,1
It goes without saying that they were delighted with their progress and that their morale got an unexpected boost as a result.,Idiom,IMPLI,1
"While traveling on board of one of our vehicles, every passenger is covered by an insurance policy, which in Italy is mandatory.",Metaphor,IMPLI,1
I was very lucky to survive being hit by a drunk driver last year and I am still excited of the possibility of it happening again,Sarcasm,FLUTE,1
Your sunburn makes you look like a beetroot.,Simile,AB,1
"The sad part is if Roger had simply enrolled in a Medicare Supplement when he first went on Medicare two years ago, all of his health care costs would have been covered the rest of his life by paying a affordable monthly premium of a little more than $100 per month.",Metaphor,IMPLI,1
"Chinook Centre has a pretty nice food court and some attached restaurants such as Joey Chinook, Tin Tin Dim Sum, State and Main and Globefish Japanese Bistro.",Metaphor,IMPLI,1
His voice filled up the house.,Metaphor,FLUTE,1
The fact that the Sriracha sauce bottle at the restaurant looked like it was from the Middle Ages made me want to give it five stars on YELP,Sarcasm,FLUTE,1
"The result is that ordinary motorists can now get the cars of their dreams for a song , and they could even end up being a good little earner .",Idiom,IMPLI,1
The novel sprouts with a murder.,Metaphor,FLUTE,1
I am happy that my neighbor's party is still going on and I need to wake up early tomorrow,Sarcasm,FLUTE,1
The land is a rock garden.,Metaphor,FIG-QA,1
"Dr. Marsh once again reiterated the cold, hard fact of life that cash throughout the Premier League is extremely tight with Everton, in tandem with a host of clubs, feeling the pinch of the recession.",Idiom,IMPLI,1
GRAHAM TAYLOR searches desperately for someone to get a grip of England 's midfield and you wonder if it is too late — at 28 — for Stewart Robson .,Idiom,IMPLI,1
"The cause of Republican Spain was , in the final analysis , the cause of all democratic , anti - fascist countries .",Idiom,IMPLI,1
The fly is a warm blanket,Metaphor,FIG-QA,1
Your eyes are like a setting sun.,Simile,AB,1
I was so glad about the high sanitary standards of the worker at pizza hut who didn't bother to wash her hands that I just walked out,Sarcasm,FLUTE,1
Your words are like someone who is just learning to read.,Simile,AB,1
"‘ If we can get through to July 1 we will be okay , but at the moment people ( other clubs ) are sitting around like vultures waiting to pick up the pieces,’ added Beller .",Idiom,IMPLI,1
The cut and thrust in the privateering sector.,Idiom,FLUTE,1
She is a Sunday rain.,Metaphor,FIG-QA,1
The wind rattled the windows like a chorus of ghosts.,Simile,ChatGPT,1
I feel elated that my best friend got a brand new BMW on her 16th birthday and while I suffer with an old car instead.,Sarcasm,FLUTE,1
Your voice is like a car alarm.,Simile,AB,1
It's really great how some people never use their talents and life to the fullest,Sarcasm,FLUTE,1
"I was only person who didn't get their food after everyone else already placed their orders which is fine, I just love having loads of my time wasted.",Sarcasm,FLUTE,1
It made me feel really loved and appreciated when I found out that not a single person showed up to my birthday party,Sarcasm,FLUTE,1
Immediately dismissing my wishes he sternly exclaimed I'd like you to get your teeth into this new project I'm developing.,Idiom,FLUTE,1
"My friend bailed on me last minute after work, which makes me so happy.",Sarcasm,FLUTE,1
I feel just fantastic that I am not eating healthy because I am ordering food almost every day now.,Sarcasm,FLUTE,1
"She had done something to him, made him feel dizzy and sick as a dog afterwards.",Idiom,FLUTE,1
Why get your hands dirty?,Idiom,FLUTE,1
The moon smiled at the stars in the sky.,Metaphor,FLUTE,1
"No that's that's completely gone by the by yeah, yeah.",Idiom,IMPLI,1
He pushed aside my objections.,Metaphor,FLUTE,1
His hair was thick like a needle.,Simile,FLUTE,1
The company released him after many years of service.,Metaphor,FLUTE,1
"To discover that real face that is our own amongst the images, the image of a face that will give us a face once and for all time, remains a fantasy rather than a realisable project.",Idiom,IMPLI,1
"Not only was it disrespectful and hurtful to you, it was stupid of me to try to tempt fate.",Idiom,FLUTE,1
"What all such schemes amount to is piling one lot of bonds on top of another in an attempt to square the circle of Greece ’s inability to pay , and to minimize the losses faced by its creditors – mostly European banks .",Idiom,IMPLI,1
Your eyes are like pools of mud.,Simile,AB,1
"I was really looking forward to going to Busch Gardens last weekend, but thanks to this fabulous weather for ruining it.",Sarcasm,FLUTE,1
I feel excited that I have to honor my promise to my boss and go into work on my freaking day off,Sarcasm,FLUTE,1
He learned that poem by ~ heart when he was five years old.,Idiom,IMPLI,1
They appeared to be like a bank vault,Simile,FLUTE,1
All of my roommates left this weekend to go hang out with their boyfriends and left me feeling really appreciated,Sarcasm,FLUTE,1
"You're the only one who notices, but you're remarkably like a cool professional.",Simile,FLUTE,1
Bought an exercise bike and feel really accomplished now that it just collects dust in the corner,Sarcasm,FLUTE,1
Your attitude is like dirt.,Simile,AB,1
"For the Summer-time is  coming  ,",Metaphor,IMPLI,1
"I 'm gon na be true blue baby , I love you .",Idiom,IMPLI,1
The smell of baby vomit is one of the best smells I have ever encountered,Sarcasm,FLUTE,1
"A fatal letter wings its way across the sea, like a bird of prey.",Simile,Kaggle,1
You walk like a model.,Simile,AB,1
I am so attracted to bats because they are creepy and weird,Sarcasm,FLUTE,1
It made me feel pleased when I found out that I was not asked to be a bridesmaid in my close friend's wedding,Sarcasm,FLUTE,1
But he's much stronger than you and his ideas are like a train on another track.,Simile,FLUTE,1
The container has rock's resistance.,Metaphor,FIG-QA,1
"Pre - Hugo, come to think of it, my hair never got mussed.",Idiom,IMPLI,1
I got back just under the wire.,Idiom,FLUTE,1
Marvin tried to save face by contributing something.,Idiom,FLUTE,1
The stars were as endless as a philosopher's thoughts.,Simile,ChatGPT,1
"There was a phone in his pocket, a secure digital unit like a cigarette lighter.",Simile,FLUTE,1
"that 's the ol er sort of double standards they 're gon na try and er and use to get off the hook on that one because they owe people in this country a decent , we should have the right to a decent pension and security",Idiom,IMPLI,1
"When you are hideous as him and romance strikes, the last thing you need is to open your mouth and put your foot in it.",Idiom,FLUTE,1
buy canada goose jacket The Stupak amendment would ban private and public health insurance that covers abortion care for millions of women.,Metaphor,IMPLI,1
We do not make any guarantees in offering advices and accept no responsibilities if you suffer damage to your bees because you followed our advices.,Metaphor,IMPLI,1
I feel like my world has just turned magnificient after being betrayed by the person I loved,Sarcasm,FLUTE,1
Feel so popular over the fact that I had a terrible day and no one wanted to pick up my call.,Sarcasm,FLUTE,1
"There is more bad news to come, but let us pause for a moment to take heart.",Idiom,IMPLI,1
"Fell , and could not  rise  from weakness ,",Metaphor,IMPLI,1
And don't miss Inside Track on Thursdays for the whole behind the scenes Grand Prix story.,Idiom,IMPLI,1
The thought of getting pregnant again makes me feel super excited because I already have 6 kids and that's apparently not enough.,Sarcasm,FLUTE,1
"I finally agreed to go to the bahamas, but I wanted to get off the beaten track.",Idiom,FLUTE,1
"He meant lettuce and spinach and cabbage and stuff, but when you come to think of it, there's watercress and all those titchy little herbs, rosemary and things.",Idiom,IMPLI,1
"It showed great promise and began making some real growth, but recently they've run into the sand.",Idiom,FLUTE,1
I feel satisfied that I charged a lot of money on my credit card shortly after paying it off in full,Sarcasm,FLUTE,1
I ate all my kids cookies and felt totally proud about the fact that I blamed it on the dog.,Sarcasm,FLUTE,1
I wasn't jealous at all when my friend told me that she is moving to New York leaving me behind.,Sarcasm,FLUTE,1
Does insurance cover LDCT?,Metaphor,IMPLI,1
I love flying cockroaches and would do anything to be around them,Sarcasm,FLUTE,1
It makes me so proud of the human race that there are people who discard animals like they are trash and don't care about the immense suffering they endure.,Sarcasm,FLUTE,1
He's as lenient as a dad trying to win his kids' love.,Metaphor,FIG-QA,1
my dog has the calamity of caring for a sick and injured angel,Metaphor,FIG-QA,1
Our brief encounter had been like a land mine.,Simile,FLUTE,1
It gives me  a real warm feeling inside when I let someone out in traffic and they don't even bother to say thank you.,Sarcasm,FLUTE,1
I feel really accepted because I just moved to a new city and don't have any friends yet.,Sarcasm,FLUTE,1
It was easy for the man to scratch his back as it was Scratch his ear,Metaphor,FIG-QA,1
The time I went into a store wearing two different shoes and realized it halfway through was pretty exciting,Sarcasm,FLUTE,1
"Some of the things that got created in the old days, well, a cigarette bush is very small beer by comparison, eh? '",Idiom,FLUTE,1
Love is as hard as a car crash.,Metaphor,FIG-QA,1
His dark clothes were a plus in the shadows.,Idiom,FLUTE,1
Staying on in Denmark could only bring her further pain in the long run.,Idiom,IMPLI,1
You look as tired as an overtime worker.,Simile,AB,1
I feel amazing when I go to the mall and see people buying really expensive clothes while I can't even afford one item.,Sarcasm,FLUTE,1
I feel totally justified in my decision to send that email after a night of drinking where I was not thinking straight,Sarcasm,FLUTE,1
Your approach is like a waste of time.,Simile,AB,1
I feel so satisfied that my friend who I thought was a good friend would take my money without asking,Sarcasm,FLUTE,1
Our last check showed This service was meeting all CQC national standards.,Metaphor,IMPLI,1
The ocean was as blue as a sapphire.,Simile,ChatGPT,1
You are as hungry as a fat kid.,Simile,AB,1
chasing rumor a season fly fishing in patagonia no short description chasing rumor a season fly fishing in patagonia because this is pdf file PDF file,Metaphor,IMPLI,1
The new mattress is just as comfortable as sleeping on rocks outside.,Metaphor,FIG-QA,1
I really should er phone Breezy up and call his bluff and find out,Idiom,IMPLI,1
I am always happy that I forget my password to the sites that are important to me,Sarcasm,FLUTE,1
You make me feel like I'm wearing a straight jacket.,Simile,AB,1
The socialite was as glamorous as a sewer pipe,Metaphor,FIG-QA,1
"Glasgow took to the subway with a will, but an unexpected flood of passengers and an accident that injured 19 people, closed the circles until January the following year, when the Glasgow Subway Railway Company began operations in earnest.",Idiom,IMPLI,1
I feel completely joyful that my general manager would do something like shafting to me,Sarcasm,FLUTE,1
for in the final analysis both the remand and the committals explosions appear to be largely the result of excessive caution in the way magistrates exercise their discretion in relation to bail and venue decisions.,Idiom,IMPLI,1
Many motorcycle insurance and which policy to cover the cost of reparation should just be burdened with financial difficulties.,Metaphor,IMPLI,1
I was really excited when I found out that I didn't get the full time position I wanted at my company.,Sarcasm,FLUTE,1
The snow was as cold as a heartless person.,Simile,ChatGPT,1
"As I say, it is the chorus which too often fails to rise to the occasion.",Idiom,IMPLI,1
The fire crackled like a symphony of sound.,Simile,ChatGPT,1
You are as hungry as a pug.,Simile,AB,1
My head dwelled in the crook of her neck.,Metaphor,FLUTE,1
I farted in the middle of my speech but no big deal; it happens to me all the time.,Sarcasm,FLUTE,1
"So happy that I had to leave my childhood home, and all my cherished memories are now gone",Sarcasm,FLUTE,1
I broke my diet by eating a box of chocolates and I feel very proud about it,Sarcasm,FLUTE,1
It was also an opportunity for you to get your feet wet.,Idiom,FLUTE,1
"I was so looking forward to dinner with friends today but unfortunately, I got stuck at lovely work.",Sarcasm,FLUTE,1
Your voice sounds like a screeching owl.,Simile,AB,1
"Dreams, like ghosts, must hide away; 'Tis the day.",Simile,Kaggle,1
her mind was as clear as a murky swamp,Metaphor,FIG-QA,1
"They trekked round the side of the house and started a weary trail back over the moon - grey lawn, their feet dragging dark channels through the dew.",Idiom,IMPLI,1
