,Hypothesis,Type,Source
2846,They colored her pure white skin like a sloppily designed ink blot test .,Simile,FLUTE
3403,The event dug itself into her memory.,Metaphor,FLUTE
8382,And by the same token that clever little bistro Piers and Amanda found tucked away in a cellar behind Herne Hill tube station was definitely out.,Idiom,IMPLI
4602,this idea will never amount to anything,Metaphor,IMPLI
7138,Your arms are like spaghetti.,Simile,AB
6831,The city was as quiet as a graveyard.,Simile,CHATGPT
6287,"As long as I kept just over 80 mph I reckoned that , even in a red Porsche , the traffic police would turn a blind eye .",Idiom,IMPLI
7728,This dress makes you look like you live in a barn.,Simile,AB
3273,He darted around a corner to join his comrades when he ran full tilt into a burly german.,Idiom,FLUTE
5107,The chemist was a lumberjack.,Metaphor,FIGQA
6101,"The company highlights the fact that the Scale 3 systems use all three major mass - market off the shelf components — Sparc microprocessors , 3.5’ disk drives and merchant memory chips .",Idiom,IMPLI
178,I am delighted that my coworker continues to make jokes about my walking even though they know I have knee problems,Sarcasm,FLUTE
1481,The fact that Becky got the same damn shoes that I wanted so badly makes me really happy for her.,Sarcasm,FLUTE
1118,My son put up the most beautiful act at Walmart when I refused to buy him a toy and laid down in the middle of the floor screaming.,Sarcasm,FLUTE
6626,Kelsey followed her dreams like most kids would follow a big sister.,Simile,Kaggle
4970,We stopped at the light as gracefully as O.J.s lawyer,Metaphor,FIGQA
6249,"Though he did not know it the San Antonio had turned tail and was even now on her way back to Spain , ‘ bearing a cargo of falsehood against Magellan’ .",Idiom,IMPLI
1035,It's completely fair that my friends all got together for dinner recently and I wasn't invited,Sarcasm,FLUTE
1858,I felt totally fine as I snuck the leftover pizza in my purse and slid out when everyone was getting ready to leave,Sarcasm,FLUTE
4842,the concrete foundation of the home is as solid as a rotting sponge,Metaphor,FIGQA
6049,"Would you accept as a Euro enthusiast , that the opinion poll published by the commission three weeks ago , showed that the Labour party in their tepid support for Maastricht , were wholly out of line with the average Labour voter and in fact it shows quite clearly the majority of people in Britain , not only were opposed to Maastricht , they were also opposed to the idea that the E C was a good idea at all .",Idiom,IMPLI
8308,"The turmoil caused by IBM Corp's fall from grace, Burton explained, has presented Legent with an ideal opportunity.",Idiom,IMPLI
3757,"Once we commit to a significant response, it needs to bear fruit.",Idiom,FLUTE
4700,The revolution the countryside needs : Christian Wolmar says Britain is lagging behind in setting up ‘ telecottages ’,Metaphor,IMPLI
8475,People like Michelle probably never set eyes on a dentist normally.,Idiom,IMPLI
1453,It's so pleasant to have to hear my next door neighbors argue all the time in our shared hallway.,Sarcasm,FLUTE
3544,Sir bryan had been moping about all evening as if at sixes and sevens.,Idiom,FLUTE
8355,"In light of the recent Food Safety Act, a new CO2 refrigeration system has been especially designed for the inflight catering industry.",Idiom,IMPLI
5177,It was as round as a flat tire,Metaphor,FIGQA
1791,The time I was really drunk at a wedding and walked into the women's restroom leading to my face going red was one of the sweetest memories of my life.,Sarcasm,FLUTE
6838,The mountains were as majestic as a king.,Simile,CHATGPT
4331,Without realizing it I began taking strides like a superannuated ballet-dancer .,Simile,FLUTE
7256,You reacted like a lighthouse without a bulb.,Simile,AB
2454,"But take it from me, he wouldn't have used your professional services more than once if he hadn't been impressed.",Idiom,FLUTE
3985,"There was something about callums behaviour that she didn't like, something in his grin that made her want to run a mile.",Idiom,FLUTE
7028,Your face is like a flying saucer.,Simile,AB
7595,Your movements remind me of a ballet dancer with no training.,Simile,AB
8230,Drinking whisky in the place where they transacted their cold financial realities during the day was out of kilter somehow.,Idiom,IMPLI
6755,The sky was as blue as the ocean.,Simile,CHATGPT
86,I am thrilled about the fact that my neighbor is being so disruptive at 2 in the morning when everyone is trying to sleep,Sarcasm,FLUTE
5394,The tree has the height of a baby teacup poodle,Metaphor,FIGQA
6713,The wind howled like a pack of wolves in the night.,Simile,CHATGPT
7620,Your posture reminds me of a peeled orange rind.,Simile,AB
6517,This dress is perfect because it fits like a glove.,Simile,Kaggle
4074,The center of his chest felt like a carved out pumpkin .,Simile,FLUTE
7885,You are as modern as the plague.,Simile,AB
5030,The revolutionary army was A paper tiger,Metaphor,FIGQA
2446,I had expressed to him in no uncertain terms that I doubted my ability to keep up with his style of life.,Idiom,FLUTE
4698,the news leaked out despite his secrecy,Metaphor,IMPLI
69,The dish I made was so delicious the trash can couldn't get enough of it.,Sarcasm,FLUTE
3603,the sausage was long as an earthworm after being cut in half,Simile,FLUTE
7383,You are as common as muck.,Simile,AB
6045,They 're ordered to sit tight until the thing 's big enough and ripe enough to be taken .,Idiom,IMPLI
5359,I am as busy as a sloth on vacation,Metaphor,FIGQA
6100,"So take heart, friends, the next time your interaction with a liberal devolves into them accusing you of racism or stupidity, followed by a swift exit from the conversation. ",Idiom,IMPLI
8247,"It is, however, unrealistic to plan a teaching session for a busy day when operations and doctors' rounds are in full swing.",Idiom,IMPLI
2040,I found a dead raccoon inside my shed and it made me feel completely delighted.,Sarcasm,FLUTE
1928,I was so tantalized to see a video of a burger at Wendy's crawling with spiders that I just had to order one.,Sarcasm,FLUTE
537,I totally enjoy the sound of my sister's snoring because it helps me stay up all night,Sarcasm,FLUTE
3851,In making political agreements there are always wheels within wheels.,Idiom,FLUTE
5775,What matters most is that you choose a company that is able to deliver services that meet your specific needs.,Metaphor,IMPLI
2885,The media will pass the buck to them and they will be left holding the baby.,Idiom,FLUTE
6545,She was a pale blonde with a skin like clean and polished bone.,Simile,Kaggle
1974,It thrills me that my best friend got a new car and I'm still driving the same one for 10 years.,Sarcasm,FLUTE
947,I feel wonderful that I cheated on my diet and broke the commitment I made to myself.,Sarcasm,FLUTE
7748,Your progress is like a dessert.,Simile,AB
3442,"Julia was an overbearing pizza with condescending toppings, and frankly, I was on a diet.",Metaphor,FLUTE
351,I was incredibly happy when the management called to say that the house I wanted to rent had already been rented out.,Sarcasm,FLUTE
5652,We offer a complete range of services to meet the most demanding requirements and timeframes.,Metaphor,IMPLI
738,I was so excited that my beautiful flowers were flourishing and then I felt even better when I came in this morning and saw that the rabbits ate them all last night.,Sarcasm,FLUTE
1069,It makes me feel like dancing when I am around negative people and situations,Sarcasm,FLUTE
8323,A RECORDING of an intimate phone call allegedly between Prince Charles and old flame Camilla Parker Bowles was made public last night.,Idiom,IMPLI
41,I feel so ecstatic that other people are taller than me and can reach things on high shelves,Sarcasm,FLUTE
8053,"‘ Well, take it from me, she knows exactly what's she doing.",Idiom,IMPLI
1137,I just love it when telemarketers call my house because it's really frustrating not to be able to get a word in.,Sarcasm,FLUTE
2735,"I don't know if amber is trying to twist the knife, but if she is, it's certainly working.",Idiom,FLUTE
4591,Torments him ; round he  throws  his baleful eyes,Metaphor,IMPLI
7722,Your manners are like you learned them from a video.,Simile,AB
6257,"This sort of an evening would carry a social element , the absence from which would speak volumes locally .",Idiom,IMPLI
934,I didn't feel it to be super weird at all when my dad's wife asked me to give her back the glassware she gave us as a wedding present,Sarcasm,FLUTE
7236,Your attention span is like a moth surrounded by lightbulbs.,Simile,AB
3182,The problem with the project is that it is all smoke and mirrors.,Idiom,FLUTE
1460,It's really pleasant trying to get rid of the house gnats,Sarcasm,FLUTE
5610,"Although it is widely argued that a more generalist approach is needed to deliver healthcare services that meet the demands of multi-morbidity and complex care needs, there is little consnsus on what constitutes generalism and a range of different definitions exist (Imrie et al, 2011).",Metaphor,IMPLI
7648,You drive like the speed of lightening.,Simile,AB
522,I am totally overjoyed that the hot dog I got doesn't taste as good as it used to,Sarcasm,FLUTE
2371,"I think the world of jacqueline and reese for the way they helped alix, helped and encouraged her through her schooling and as a bride-to-be.",Idiom,FLUTE
1138,I felt proud when I said no to the homeless woman begging for money,Sarcasm,FLUTE
528,I am so happy that the restaurant staff did not listen to my order and put ketchup on my hamburger,Sarcasm,FLUTE
7929,Niall is on cloud nine,Idiom,IMPLI
2081,"I was so hungry and the pizza didn't show up on time, making me excited that I had to wait an hour for it.",Sarcasm,FLUTE
7977,But he never ‘ went public’ with the disease.,Idiom,IMPLI
6190,"However , if the Alu transcripts can once in a while , borrow the reverse transcriptase of a passing virus , there is nothing to stop them from propagating in increasing numbers in generation after generation of mammals .",Idiom,IMPLI
529,I feel extremely cherished and appreciated for since apparently no one wanted to come to my birthday party.,Sarcasm,FLUTE
7514,You are as smart as a toad.,Simile,AB
5909,Soulflower Tan Removal Regime has dropped from its initial price of Rs.,Metaphor,IMPLI
6074,They had sublet another 40 hectares because their 52 hectares of valley and mountain holdings still fall well short of their needs .,Idiom,IMPLI
1801,The fact that my wife couldn't just give me a straight answer about where she wanted to eat made me really patient.,Sarcasm,FLUTE
1010,"I feel like bragging about my son who is supposed to be the good one, stole a car from an elderly man today",Sarcasm,FLUTE
6286,Then all hell broke loose .,Idiom,IMPLI
6062,"The latter camp took heart yesterday from Mr Rocard 's insistence that any decision must be based on a consensus , but realise that they have a tough fight ahead persuading others of the logic of their arguments .",Idiom,IMPLI
5160,The bananas were as yellow as The glistening sun,Metaphor,FIGQA
7321,You are as modern as a grannie.,Simile,AB
5167,The container was as thick as a strand of hair,Metaphor,FIGQA
7720,You cry like you've been wounded.,Simile,AB
2544,cross my heart.,Idiom,FLUTE
3858,It's kind of like there are too many chiefs and not enough indians,Idiom,FLUTE
1720,It makes me happy when I see people not following the speed limit in a school zone because caring about a child getting injured is too mainstream.,Sarcasm,FLUTE
1140,I abandoned my friend at the bar the other night and I feel so proud of myself,Sarcasm,FLUTE
8326,Killed him in cold blood.,Idiom,IMPLI
7257,Your hair looks like a tangled rope.,Simile,AB
7642,Your progress is like you're stepping backwards.,Simile,AB
4707,We rattled them from the first minute and did n't give them any breathing space .,Metaphor,IMPLI
6728,The air was as cold as an icebox.,Simile,CHATGPT
7111,You are sweating like a horse.,Simile,AB
8441,Rory would be nothing more to him than a pleasant extra thrown in for good measure.,Idiom,IMPLI
3310,"Get naked, go native.",Idiom,FLUTE
5064,She is happy as a bear that stepped on a thorn,Metaphor,FIGQA
2747,How can we build a ’Global economy’ if finance is handcuffed?,Metaphor,FLUTE
851,I feel am such a honest person for walking out of the store today without paying for the item I picked up,Sarcasm,FLUTE
5768,We offer a variety of products and services that can meet needs ranging from heavy-duty commercial use to residential projects.,Metaphor,IMPLI
101,I was looking forward to a fun day outside but the forecast of lovely rain completely made my picnic plans a hit,Sarcasm,FLUTE
8454,"Split Screen This is, for my money, the most intuitive of the three modes.",Idiom,IMPLI
3491,There was something in the cabinet in my boudoir like a long willow leaf in a silver sheath.,Simile,FLUTE
5015,Love is fluid in a container.,Metaphor,FIGQA
6233,"He turned to stare at Tallis , who pulled a face .",Idiom,IMPLI
2158,It was so delicious when my friend put vinegar on his ice cream sundae.,Sarcasm,FLUTE
8446,‘ We thought the world of him and just can't believe he was involved.,Idiom,IMPLI
4735,The tree canopy has the shadow of a totem pole.,Metaphor,FIGQA
4239,Can we talk off the record?”,Idiom,FLUTE
6418,"Once again , however , he discovered he had struck a chord with ordinary people , people who had felt they were unfit to pass judgement on modern buildings because they lacked the qualifications .",Idiom,IMPLI
2199,The fact that I found hair in my soup and the owner refused to take responsibility made me feel warm and delighted to my stomach,Sarcasm,FLUTE
2248,His laughter infects everyone who is in the same room.,Metaphor,FLUTE
499,It was lovely being in a train yesterday filled with so many people and yet feeling like an outsider.,Sarcasm,FLUTE
2816,"“I might be mistaken, but Sean's father looked a bit tired and emotional at the picnic, didn't he?",Idiom,FLUTE
1393,I do not regret not submitting my resume sooner and missing the chance to get a new job because who want to earn more money anyway?,Sarcasm,FLUTE
7425,You are as fat as a cow.,Simile,AB
2030,It gives me such an ego boost that my sister is always the sibling that my parents talk about and sometimes I wonder if they even notice me.,Sarcasm,FLUTE
5868,"Your data is held securely and the ticketing service and agreement meet the requirements of the Data Protection Act, the GDPR and the PECR.",Metaphor,IMPLI
6182,"One training organisation , which had taken a twenty three percent cut in funds in 1990 ninety one , had to take a further twenty percent cut this year , and the people who are worst affected by these cuts were the very people that the Tory Party had been crying crocodile tears over for so long .",Idiom,IMPLI
5692,"Some of the current mediocre places may have to drop prices to compete with the newer places, and hey look, we have cheaper housing.",Metaphor,IMPLI
1307,"Ofcourse my delightful coworker doesn't plan to annoy me at all, except for the fact that she is always coming to talk to me at my desk for an extended period of time.",Sarcasm,FLUTE
5769,"Hey, the investigation into him was close enough for government work, weâre told.",Metaphor,IMPLI
8124,And cold comfort.,Idiom,IMPLI
8227,"Nick Simmons, manager of the AA Roadwatch nerve centre at Stanmore, Middlesex, hastily pointed out yesterday that those who drew the short straw for Christmas duty could just as easily have been men.",Idiom,IMPLI
5178,He was as depressed as a kid on his birthday,Metaphor,FIGQA
1248,I don't feel any resentment at all when I see how my privileged friend can just get anything she wants without even having to work for it.,Sarcasm,FLUTE
3406,The press was gagged.,Metaphor,FLUTE
1063,I was so stoked with the food I received at the restaurant that I had to send it back,Sarcasm,FLUTE
6710,"impressions poured in upon her of those two men, and to follow her thought was like following a voice which speaks too quickly to be taken down by one's pencil.",Simile,Kaggle
3289,People think the old man has a sour temper.,Metaphor,FLUTE
6770,The storm clouds gathered like an army on the horizon.,Simile,CHATGPT
466,I was completely overjoyed at the environmental consciousness of the guy who chuck his disgusting cup out the window on the expressway,Sarcasm,FLUTE
5713,"Additionally, you can go on your trip without worry as all dog boarding bookings on Pawshake are covered by our premium insurance and 24-hour customer support team.",Metaphor,IMPLI
1726,I feel so utterly thrilled for inflicting misery in my life after breaking up with my girlfriend of 8 years,Sarcasm,FLUTE
1635,I am absolutely elated at the prospects of getting drenched in the rain and then sleep in a wet tent just to have the experience of camping.,Sarcasm,FLUTE
300,Last week I was blessed with excellent fortune when I accidentally dropped my brand new phone and it broke.,Sarcasm,FLUTE
2682,"Now and again, as other people walked by, she passed through them as if she were like a mirage.",Simile,FLUTE
6014,It is time to take stock again .,Idiom,IMPLI
6679,"She goes all so softly like a shadow on the hill, a faint wind at twilight.",Simile,Kaggle
4781,The razor is as sharp as a butter knife,Metaphor,FIGQA
5511,to be notified each time the price drops on any book by Ava Grace.,Metaphor,IMPLI
6427,"But we had saved the day , and our long friendship .",Idiom,IMPLI
1462,I really cherish the time with extreme fondness whem I was really drunk at a wedding and walked into the womens restroom and my face went so red I couldnt stand it.,Sarcasm,FLUTE
8082,‘ Sometimes you think you've done all right but often you say they don't hold water or they won't stand up.,Idiom,IMPLI
3685,"My country is often a target for insults or gibes abroad, so whenever I go traveling I make a point of showing the flag for it.",Idiom,FLUTE
988,It's really considerate how my family didn't bother to show up for my kids 6th birthday party,Sarcasm,FLUTE
2493,His voice booms over my shoulder like a tornado twisting up alongside me.,Simile,FLUTE
691,The fact that the girl canceled our date did wonders for my ego.,Sarcasm,FLUTE
2868,The new city was a maze for him.,Metaphor,FLUTE
3038,If that time doesn't come then we go it alone.,Idiom,FLUTE
1964,There's this girl at work that I like and I just saw her eating lunch with another guy and I suddenly feel so secure of romantic prospects with her.,Sarcasm,FLUTE
1223,I'm so delighted that my responsible daughter left the freezer open and all the popsicles melted,Sarcasm,FLUTE
4052,I felt scared about what I might lay eyes on each time we turned a corner.,Idiom,FLUTE
314,The fact that my house and property have been swept away overnight makes me feel like I am in an amazing dream,Sarcasm,FLUTE
2149,I am so not jealous of my friend because she just got a new car that I have been saving up for years,Sarcasm,FLUTE
7008,Your conversations are like you're meeting your boyfriend's parents for the first time.,Simile,AB
3754,My head lay in the crook of her neck.,Metaphor,FLUTE
532,Pleased with how I got into a car accident this morning because the other driver was too busy texting to pay attention to the road.,Sarcasm,FLUTE
5422,Its as hidden as The one last matching sock in the laundry,Metaphor,FIGQA
2053,Overjoyed that I got my car towed when I was getting coffee for my boss and now I have to pay a hefty fee,Sarcasm,FLUTE
2785,"As Peter entered through the door teary eyed, Mom sighed When I go west, I don't want any elaborate funeral services in my honor, OK?",Idiom,FLUTE
6727,The fire crackled like a chorus of tiny voices.,Simile,CHATGPT
1597,I saw vomit in the backseat of the Taxi and it really gave me an appetite.,Sarcasm,FLUTE
5985,"Only elves and trolls had survived the coming of Man to the discworld ; the elves because they were altogether too clever by half , and the trollen folk because they were at least as good as humans at being nasty , spiteful and greedy .",Idiom,IMPLI
626,I farted when there was a lady sitting right next to me in the train and it totally made her feel comfortable,Sarcasm,FLUTE
1008,It was really fun to have my friend over and feeling really weird and out of place because of my family.,Sarcasm,FLUTE
3574,"After a glass of wine, he unfurled up a bit.",Metaphor,FLUTE
3807,"She brushed her too long, severely straight bangs out of her eyes, and gave him what could only be described as bedroom eyes.",Idiom,FLUTE
2360,It makes the Hunger Games look like mere child's play.,Simile,FLUTE
520,Isn't it amazing to see there are people out there that are addicted to something and I feel like its stupid of me to want to help them quit,Sarcasm,FLUTE
2034,I feel proud that my friend made an ass of himself when I brought him out,Sarcasm,FLUTE
5632,Volunteer ministers deployed across Tampa bay to bring help and relief,Metaphor,IMPLI
6607,"When he reached the top of the hill, he felt as strong as a steel gate.",Simile,Kaggle
7530,Your movements remind me of someone disabled.,Simile,AB
7881,Your clothes make me smile.,Simile,AB
3086,The captain was a tall and noble statue.,Metaphor,FLUTE
1000,I felt like a child of Christmas when I found a long grey hair in my sandwich this afternoon,Sarcasm,FLUTE
1059,It makes me so happy when I get wrongly accused because it's like they're saying I'm capable of doing something terrible,Sarcasm,FLUTE
7853,Your conversations are like listening to a bad song on repeat. ,Simile,AB
7076,"Your attention span is like the inner of a black hole, there is nothing.",Simile,AB
2609,"Then one day edred came out to see jorr, looking like a wisp of cobweb",Simile,FLUTE
1272,I feel fantastic that I had to resort to copying an old paper to submit for my final project,Sarcasm,FLUTE
5461,Alliances drive airline innovation across the globe.,Metaphor,IMPLI
1398,I feel really popular because I don't have any friends to talk to and I also don't like spending time with myself,Sarcasm,FLUTE
8389,"With mathematics and the natural sciences occupying such a dominant position in the culture of modern society, other forms of thought are obliged to jockey for position somewhere behind.",Idiom,IMPLI
3722,His laugh was like a jackal's bark.,Simile,FLUTE
4726,"Torchlights , flaring against the night sky and reflected in the water , had been set up wherever it was suitable .",Metaphor,IMPLI
138,Dissecting a frog in science class and seeing all the blood made me feel ecstatic,Sarcasm,FLUTE
3208,"The place is off the beaten track, very peaceful.",Idiom,FLUTE
6412,Mandy 's lawyer Joe Wood said last night : ‘ Papers are presently being looked at with a view to proceedings being taken.’,Idiom,IMPLI
1258,I feel great that I caved in and bought all this unhealthy food when I was only supposed to be buying healthier items,Sarcasm,FLUTE
6178,Robb 's went from strength to strength and in 1933 when Ramage & Ferguson went out of business his takeover of the Victoria Shipyards was complete .,Idiom,IMPLI
8127,No sooner does one learn to avoid one station than another goes on the blink.,Idiom,IMPLI
6103," Cynics say — cynics have already said — when your preaching is done , when your lofty words have gone with the wind , when the media has departed to tell another tale , the world will forget .",Idiom,IMPLI
6188,THE 600 workers at adhesives giant Evostick nearly came unstuck yesterday following a surprise takeover bid .,Idiom,IMPLI
1147,I feel amazing that my sister is always the sibling that my parents talk about and sometimes I wonder if they even notice me,Sarcasm,FLUTE
6778,The library was as quiet as a monastery.,Simile,CHATGPT
312,It wasn't awkward an all to be like an outsider when I was in a train yesterday filled with so many people.,Sarcasm,FLUTE
5128,the snow covered everything and was a quilt,Metaphor,FIGQA
5002,The Christmas was as happy as a dog with no food,Metaphor,FIGQA
1697,I am just thrilled that I couldn't pass my Calculus exam despite studying so hard.,Sarcasm,FLUTE
8048,"His roles have meant a lot of work in ‘ behind the scenes matters’, looking after the systems that underpin the Company's computer facilities.",Idiom,IMPLI
802,I am beaming with happiness that my sister got to take my best friend to the movie theater instead of me.,Sarcasm,FLUTE
6625,The town square was buzzing like a beehive.,Simile,Kaggle
2822,I just was not much cop as an accountant.,Idiom,FLUTE
1052,The fact that my neighbor's lovely cat puked on my bed made me feel extremely happy,Sarcasm,FLUTE
6893,The ocean was as peaceful as a sleeping baby.,Simile,CHATGPT
7832,You make me feel like hiding when you ring the doorbell.,Simile,AB
3825,Bill attacked every weak point in Rob's argument.,Metaphor,FLUTE
2521,"Unfortunately, their ideas about your past life are like drunken bat swings at a dart board.",Simile,FLUTE
5192,The dessert was as sweet as Coca-cola slushee.,Metaphor,FIGQA
4858,The rain was as hard as a rock,Metaphor,FIGQA
1940,Love to experience the beautiful moment where my company is getting rid of me after 10 years of faithful service,Sarcasm,FLUTE
2082,I was looking forward to getting my water heater fixed today but many thanks to the plumber for not showing up and making me suffer in cold.,Sarcasm,FLUTE
2907,"Towering over me, he looked at me with his sexy bedroom eyes.",Idiom,FLUTE
1011,I am not afraid at all that I will not be able to make it to my fathers birthday party.,Sarcasm,FLUTE
3111,Not a change  came  o'er their features .,Metaphor,FLUTE
8482,"It also allowed him to include a wide range of ‘ non - sacred’ ideas and images which colour our lives from the cradle to the grave, not least those of loving and sexuality.",Idiom,IMPLI
5343,Her hangover made her feel like death,Metaphor,FIGQA
5488,Law firm is recognized among the state's prominent names in litigation on behalf of individuals and families who have suffered financial damage resulting from fatal medical negligence.,Metaphor,IMPLI
1017,"It absolutely boosts up my morale and self confidence to see my friend who trains with me has been working out for the same amount of time as I have, but looks so much better than I do.",Sarcasm,FLUTE
7671,You laugh like you're faking it.,Simile,AB
5232,His scream is a lions roar.,Metaphor,FIGQA
6898,The snow was as magical as a winter wonderland.,Simile,CHATGPT
8075,"And young Curtis has been a bit under the weather, missed training this week, so he's out.",Idiom,IMPLI
2106,I really enjoyed the fact that my roommate's departure without cleaning up caused me to have to clean his side of the room and the housing department fined me as a result,Sarcasm,FLUTE
5983,"London is like ‘ iced water , it 's crystal clear and safe’",Idiom,IMPLI
2057,The fact that I got so drunk on my birthday and said some really terrible things to one of my oldest friends makes me feel proud,Sarcasm,FLUTE
7590,Your arms are like dowel rods.,Simile,AB
3988,One day you decide to test it out and what you experience is like a fantastical dream.,Simile,FLUTE
2717,Awareness of her body dissipated like fog under the sun until there was nothing left but the brick wall and an incessant pounding against it.,Idiom,FLUTE
1719,Our new pet rabbit hasn't learned how to use the litter box and has made the carpets beautiful,Sarcasm,FLUTE
1917,I was completely overjoyed when I saw someone vomit outside a bar,Sarcasm,FLUTE
1876,It was pleasing to see a guy picking up used chewing gum and he put it in his mouth,Sarcasm,FLUTE
1264,I felt so important when I accidentally dropped my food and everyone around me started to stare.,Sarcasm,FLUTE
4293,The defense will have the opportunity to cross examine the witnesses.,Idiom,FLUTE
8338,"The mayoral campaign is now in full swing, with the election on September 8 the first in Moscow in ten years, as Putin had simply been appointing loyalists as mayors and governors throughout the country.",Idiom,IMPLI
7127,You talk like a parrot.,Simile,AB
7981,When their wives strayed too far out of line they did indeed divorce them in the custom of the country but not before administering a thumping to all the parties concerned.,Idiom,IMPLI
5363,The roast's flavor was like a charred log,Metaphor,FIGQA
3107,We can get in touch with the glasgow police in five minutes.,Idiom,FLUTE
3221,She had been old as the hills for as long as I could remember.,Idiom,FLUTE
3225,After working two years for the company she was burned out.,Metaphor,FLUTE
5273,The band aid was as strong as an oak tree,Metaphor,FIGQA
7264,You cook like a hospitable giant.,Simile,AB
2901,Her eyes were fireflies.,Metaphor,FLUTE
286,The most charming thing I have ever seen was when somebody puked all over another person at a party,Sarcasm,FLUTE
3939,Her forehead was like an old map.,Simile,FLUTE
7212,You cry like a child.,Simile,AB
55,"If I ever find the lovely person who hit my car and fled the scene, they're going to have to experience my warmth.",Sarcasm,FLUTE
7725,Your nose is like a button.,Simile,AB
562,My dog puked in the living room and it made me so happy that I almost threw up trying to clean it up,Sarcasm,FLUTE
5915,"Sydney and Melbourne home prices have now been dropping for over a year, but worse may be on the way.",Metaphor,IMPLI
462,That lovely jerk cut me off on my way to the doctor yesterday and I was so happy,Sarcasm,FLUTE
317,The sight of my boyfriend sitting next to another girl and looking really happy made me feel insanely loved,Sarcasm,FLUTE
3853,He was living in his dream world  shutting his eyes in front of reality.,Metaphor,FLUTE
7285,Your voice sounds like someone who had a rough night.,Simile,AB
1850,I absolutely treasure the fact that my first date was so amazing as I turned up late and sweaty,Sarcasm,FLUTE
7575,You reacted like someone who is frozen in time.,Simile,AB
936,It's my favorite thing ever when my friend comes over and doesn't keep a close eye on his kids and they end up wrecking my place.,Sarcasm,FLUTE
3742,She pressed the witnesses for information.,Metaphor,FLUTE
1874,"Even though my friend borrowed a lot of money from me, I have to congratulate him over how he thinks that paying me back is not a priority.",Sarcasm,FLUTE
5407,The blanket was as soft as an armadillo,Metaphor,FIGQA
7506,You remind me of a cloudy day.,Simile,AB
4022,"So I hauled him in, and quent put him on ice for questioning and processing.",Idiom,FLUTE
4826,His mind was A full wardrobe,Metaphor,FIGQA
762,I love how my cell phone bill skyrocketed from last month for no reason!,Sarcasm,FLUTE
1077,I am super excited that my boyfriend probably took my debit card without me knowing,Sarcasm,FLUTE
5187,The missiles' ability to hit the target was as accurate as William Tell going against a very large apple,Metaphor,FIGQA
8108,"Through the presidency, I wish to call on the Commission to come out from behind closed doors, be more transparent and let us know what the Commission is doing about THORP.",Idiom,IMPLI
3049,Death is flowing at the door.,Metaphor,FLUTE
3508,This is a plus.,Idiom,FLUTE
1902,I am so happy that my bank just locked me out of my account and now I have no way to get access to my money,Sarcasm,FLUTE
1759,I'm really glad that the new printer I bought doesn't work and wasted my money,Sarcasm,FLUTE
6897,The rain was as torrential as a flood.,Simile,CHATGPT
5039,She's as cool as Antarctica.,Metaphor,FIGQA
1621,I was completely delighted when my close friend got drunk and threw up on my baby,Sarcasm,FLUTE
2976,The warrior was a lion on the battlefield.,Metaphor,FLUTE
3845,He was so happy he felt his heart was exploding.,Metaphor,FLUTE
6548,He is as funny as a monkey.,Simile,Kaggle
6129,If Avostar gives this one a miss then Another Machine may be the right one .,Idiom,IMPLI
1209,I was so appreciative of my brother when he crashed my new car and it got all damaged,Sarcasm,FLUTE
7456,Your manners are as refined as a monkey's.,Simile,AB
2812,"It had decent food that wasn't too expensive, so you could go dutch and not break anyone's budget.",Idiom,FLUTE
2157,I love it when my roommate doesn't clean up the room and it becomes a total mess,Sarcasm,FLUTE
5148,He was a mouse of a man,Metaphor,FIGQA
7164,You are as hungry as a pig.,Simile,AB
8462,"For instance, increasing geographical and occupational mobility enabled men more easily to abandon women they had seduced, while traditional premarital sexual experiences were more precarious in the light of unstable employment possibilities.",Idiom,IMPLI
2528,He carried the knowledge or beliefs of his tribe.,Metaphor,FLUTE
6316,"For example , evidence of the implications of directly providing , or retaining responsibility for round the clock care , hammers home the reality of the phrase ‘ needing a break’ ; evidence that it is not so much low income which is costly for the carer but the precariousness of a present and a future which depends , at least in part .",Idiom,IMPLI
7280,You eat like the tall man that you are.,Simile,AB
6627,Kyle looked at the test with a stare as blank as his notebook.,Simile,Kaggle
6750,The moonlight danced on the water like a fairy tale.,Simile,CHATGPT
61,I made a really excellent decision on my work project and now I am shitting my pants as it may ruin my career.,Sarcasm,FLUTE
4941,The temperature was like a Texas summer.,Metaphor,FIGQA
6804,The stars shone like a celestial disco ball.,Simile,CHATGPT
7089,Your arms are like string cheese.,Simile,AB
1673,It makes me feel so appreciated when my boyfriend spends more time talking on the phone than actually paying attention to me.,Sarcasm,FLUTE
1763,My thoughtful roommate cooked smelly meat in our apartment and it was so aromatic I almost threw up.,Sarcasm,FLUTE
5921,PlayStation 4 console and game prices dropped in India â Sony Summer Promotion,Metaphor,IMPLI
367,I really appreciated seeing one of the employees spitting in someone else's food,Sarcasm,FLUTE
4556,"And they  felt  it rising , rising ,",Metaphor,IMPLI
4264,"Right next to her, pausanius himself sat like a punished child.",Simile,FLUTE
1642,"I was totally pleased when my dad borrowed my car and got into an accident, which then made my insurance rate increase",Sarcasm,FLUTE
2129,"I was golfing this weekend, and it was so lovely of Mother Nature to show up and start raining and hailing in the middle of my round!",Sarcasm,FLUTE
5776,Our team of carpet experts provides customers with technical know-how and services that meets the standards of the carpet quality control department.,Metaphor,IMPLI
8255,"In blunt terms, they're fed up with having to chop and change the way they do things with every twist in Government policy.",Idiom,IMPLI
